,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Wilmer Flores1B'],New York Mets,4,1,2,0,0,1,5,.276,.334,.458,.792,24,15,0.103,0.72,0.132,-0.029%,0%,0.00,0.5,9,2,"2·2B,HBP",8/11/2018
['Michael ConfortoLF'],New York Mets,2,1,1,0,3,1,5,.235,.356,.394,.750,20,10,0.099,1.76,0.121,-0.023%,0%,0.00,0.7,4,0,IW,8/11/2018
['Brandon NimmoCF'],New York Mets,4,1,0,0,1,1,5,.245,.371,.464,.835,26,16,-0.240,2.42,0.074,-0.314%,0%,0.00,-1.0,4,0,GDP,8/11/2018
['Todd Frazier3B'],New York Mets,4,0,1,3,1,1,5,.217,.299,.370,.669,22,12,0.132,1.50,0.245,-0.112%,0%,0.00,1.8,1,2,"2B,SB",8/11/2018
['Jose BautistaRF'],New York Mets,5,0,1,0,0,2,5,.197,.341,.363,.704,27,15,-0.113,1.36,0.037,-0.149%,0%,0.00,-0.8,2,1,,8/11/2018
['Devin MesoracoC'],New York Mets,4,0,0,0,1,1,5,.220,.303,.383,.686,13,10,-0.134,1.28,0.004,-0.138%,0%,0.00,-0.6,7,1,IW,8/11/2018
['Corey OswaltP'],New York Mets,3,0,0,0,0,1,3,.000,.000,.000,.000,10,7,-0.074,0.95,0.000,-0.074%,0%,0.00,-0.8,1,2,,8/11/2018
['Bobby WahlP'],New York Mets,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/11/2018
['Paul SewaldP'],New York Mets,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,8/11/2018
['Austin JacksonPH'],New York Mets,1,0,0,0,0,1,1,.285,.346,.376,.723,7,4,-0.031,1.25,0.000,-0.031%,0%,0.00,-0.1,,,,8/11/2018
['Tyler BashlorP'],New York Mets,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,8/11/2018
['Jacob RhameP'],New York Mets,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,8/11/2018
Team Totals,New York Mets,37,3,6,3,6,9,44,.162,.295,.270,.566,190,119,-0.533,1.38,0.638,-1.170%,0.00%,0.00,-2.0,31,14,,8/11/2018
['Nick MartiniLF'],Oakland Athletics,3,1,0,0,1,1,4,.284,.391,.388,.779,20,13,-0.040,0.65,0.017,-0.057%,-0.02%,0.63,0.0,2,0,,9/16/2018
['Matt Chapman3B'],Oakland Athletics,3,1,0,0,1,0,4,.282,.362,.523,.885,20,10,-0.016,0.75,0.041,-0.057%,-0.01%,0.73,0.3,0,1,,9/16/2018
['Jed Lowrie2B'],Oakland Athletics,4,0,0,0,0,2,4,.268,.353,.450,.803,19,13,-0.073,0.79,0.000,-0.073%,-0.04%,0.77,-1.1,0,3,,9/16/2018
['Khris DavisDH'],Oakland Athletics,4,1,1,4,0,1,4,.249,.327,.544,.871,11,7,0.001,0.80,0.055,-0.054%,0%,0.78,2.1,,,HR,9/16/2018
['Matt Olson1B'],Oakland Athletics,3,0,2,0,1,1,4,.246,.330,.456,.785,19,11,0.012,0.91,0.064,-0.052%,0.01%,0.88,0.7,10,1,,9/16/2018
['Stephen PiscottyRF'],Oakland Athletics,4,0,0,0,0,0,4,.265,.321,.481,.802,10,7,-0.132,1.01,0.007,-0.139%,-0.08%,0.99,-1.6,0,0,2·GDP,9/16/2018
['Ramon LaureanoCF'],Oakland Athletics,3,0,1,0,0,0,3,.281,.357,.509,.865,14,9,-0.049,0.67,0.003,-0.053%,-0.03%,0.65,-0.3,4,0,2B,9/16/2018
['Marcus SemienSS'],Oakland Athletics,3,0,0,0,0,0,3,.258,.323,.382,.705,8,5,-0.045,0.59,0.000,-0.045%,-0.03%,0.58,-0.7,3,3,,9/16/2018
['Jonathan LucroyC'],Oakland Athletics,2,0,0,0,0,1,2,.239,.289,.319,.608,9,7,-0.026,0.52,0.000,-0.026%,-0.01%,0.50,-0.3,5,0,,9/16/2018
['Matt JoycePH'],Oakland Athletics,0,1,0,0,1,0,1,.199,.315,.352,.667,5,1,0.007,0.22,0.007,0.000%,0.00%,0.21,0.4,,,,9/16/2018
[''],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,,,,9/16/2018
['Mike FiersP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,1,,9/16/2018
['Cory GearrinP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,0,,9/16/2018
['Ryan BuchterP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,0,,9/16/2018
['Emilio PaganP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,0,,9/16/2018
['Frankie MontasP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,1,,9/16/2018
Team Totals,Oakland Athletics,29,4,4,4,4,6,33,.138,.242,.276,.518,135,83,-0.361,0.76,0.194,-0.556%,-0.21%,0.73,-0.5,24,10,,9/16/2018
['Shin-Soo ChooDH'],Texas Rangers,6,2,2,0,1,0,7,.319,.415,.549,.965,22,14,-0.033,0.33,0.036,-0.069%,-0.02%,0.35,-1.5,,,,4/27/2019
['Rougned Odor2B'],Texas Rangers,4,3,1,3,2,1,6,.157,.259,.255,.514,21,9,0.226,0.52,0.229,-0.003%,0.14%,0.54,3.6,0,0,HR,4/27/2019
['Elvis AndrusSS'],Texas Rangers,6,3,3,3,0,1,6,.364,.422,.576,.998,16,11,0.167,0.30,0.174,-0.007%,0.11%,0.32,2.7,0,2,"HR,2B",4/27/2019
['Nomar MazaraRF'],Texas Rangers,6,2,2,1,0,1,6,.250,.320,.500,.820,32,21,0.002,0.15,0.019,-0.017%,0.00%,0.16,0.4,2,0,2B,4/27/2019
['Hunter PenceLF'],Texas Rangers,6,0,2,3,0,0,6,.292,.327,.458,.785,25,18,-0.021,0.15,0.004,-0.025%,-0.01%,0.15,1.1,1,0,2B,4/27/2019
['Joey GalloCF'],Texas Rangers,5,1,1,1,1,2,6,.259,.385,.647,1.032,22,12,-0.018,0.12,0.001,-0.019%,-0.01%,0.12,-0.1,1,0,HR,4/27/2019
['Danny Santana1B'],Texas Rangers,5,2,3,1,0,1,6,.315,.339,.537,.876,15,11,0.020,0.18,0.037,-0.018%,0.01%,0.20,1.8,5,1,"2·2B,HBP",4/27/2019
['Logan Forsythe3B'],Texas Rangers,6,1,4,3,0,1,6,.261,.373,.435,.808,26,15,0.063,0.15,0.064,-0.001%,0.04%,0.15,1.6,1,2,2·2B,4/27/2019
['Jeff MathisC'],Texas Rangers,5,1,2,0,1,0,6,.170,.235,.234,.469,34,21,0.056,0.18,0.057,0.000%,0.04%,0.19,0.9,16,0,,4/27/2019
[''],Texas Rangers,,,,,,,,,,,,,,,,,,,,,,,,4/27/2019
['Mike MinorP'],Texas Rangers,,,,,,,,,,,,,,,,,,,,,1,0,,4/27/2019
['Ariel JuradoP'],Texas Rangers,,,,,,,,,,,,,,,,,,,,,0,1,,4/27/2019
Team Totals,Texas Rangers,49,15,20,15,5,7,55,.408,.473,.735,1.207,213,132,0.462,0.23,0.621,-0.159%,0.29%,0.24,10.3,27,6,,4/27/2019
['Kevin Newman2B'],Pittsburgh Pirates,5,0,2,0,0,0,5,.323,.365,.470,.835,10,9,0.033,0.25,0.040,-0.007%,0.03%,0.33,0.3,3,3,GDP,7/13/2019
['Bryan ReynoldsLF'],Pittsburgh Pirates,4,0,0,0,0,1,4,.333,.409,.522,.931,19,9,-0.045,0.47,0.000,-0.045%,-0.03%,0.60,-1.8,2,0,GDP,7/13/2019
['Starling MarteCF'],Pittsburgh Pirates,4,2,2,2,0,1,4,.281,.322,.488,.810,16,10,-0.026,0.34,0.007,-0.032%,-0.02%,0.43,1.4,0,0,2·HR,7/13/2019
['Josh Bell1B'],Pittsburgh Pirates,4,0,2,0,0,2,4,.301,.374,.642,1.015,15,9,-0.017,0.27,0.008,-0.025%,-0.01%,0.34,0.2,8,1,2B,7/13/2019
['Melky CabreraRF'],Pittsburgh Pirates,4,0,0,0,0,0,4,.305,.341,.448,.789,14,10,-0.018,0.18,0.000,-0.018%,-0.01%,0.23,-1.1,0,0,,7/13/2019
['Jose Osuna3B'],Pittsburgh Pirates,4,1,2,0,0,0,4,.345,.397,.707,1.104,12,7,0.006,0.12,0.011,-0.006%,0.01%,0.16,0.1,0,0,,7/13/2019
['Jung Ho KangSS'],Pittsburgh Pirates,4,1,2,1,0,2,4,.179,.236,.421,.656,15,9,-0.003,0.16,0.009,-0.012%,-0.00%,0.20,1.1,1,2,HR,7/13/2019
['Elias DiazC'],Pittsburgh Pirates,4,0,0,0,0,0,4,.268,.320,.344,.664,15,9,-0.015,0.15,0.000,-0.015%,-0.01%,0.19,-1.0,9,2,,7/13/2019
['Jordan LylesP'],Pittsburgh Pirates,0,0,0,0,0,0,0,.087,.125,.087,.212,,,,,,,,,,0,0,,7/13/2019
['Chris StrattonP'],Pittsburgh Pirates,1,0,0,0,0,1,1,.000,.000,.000,.000,5,3,-0.007,0.27,0.000,-0.007%,-0.01%,0.35,-0.2,0,1,,7/13/2019
['Colin MoranPH'],Pittsburgh Pirates,1,0,0,0,0,0,1,.292,.332,.475,.807,1,1,-0.001,0.02,0.000,-0.001%,-0.00%,0.03,-0.1,,,,7/13/2019
['Luis EscobarP'],Pittsburgh Pirates,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/13/2019
['Corey DickersonPH'],Pittsburgh Pirates,1,0,0,1,0,0,1,.270,.309,.472,.781,5,3,-0.003,0.13,0.000,-0.003%,-0.00%,0.17,0.0,,,,7/13/2019
['Clay HolmesP'],Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,1,0,,7/13/2019
['Jacob StallingsPH'],Pittsburgh Pirates,1,0,1,0,0,0,1,.345,.410,.418,.828,2,1,0.002,0.04,0.002,0.000%,0.00%,0.05,0.3,,,,7/13/2019
Team Totals,Pittsburgh Pirates,37,4,11,4,0,7,37,.297,.297,.568,.865,129,80,-0.094,0.23,0.077,-0.171%,-0.07%,0.29,-0.8,24,9,,7/13/2019
['Francisco LindorSS'],Cleveland Indians,3,0,0,1,0,0,4,.284,.335,.514,.849,9,6,-0.034,0.86,0.016,-0.050%,-0.02%,0.86,-0.5,1,1,SF,9/27/2019
['Oscar MercadoCF'],Cleveland Indians,4,0,0,0,0,2,4,.272,.321,.447,.768,11,9,-0.047,0.45,0.000,-0.047%,-0.03%,0.45,-0.6,4,0,,9/27/2019
['Carlos Santana1B'],Cleveland Indians,4,0,0,0,0,1,4,.282,.397,.517,.913,18,12,-0.049,0.47,0.000,-0.049%,-0.03%,0.47,-0.7,3,0,,9/27/2019
['Yasiel PuigRF'],Cleveland Indians,3,0,0,0,0,0,3,.267,.327,.458,.785,8,6,-0.050,0.65,0.000,-0.050%,-0.03%,0.65,-0.6,0,0,,9/27/2019
['Mike Freeman2B'],Cleveland Indians,3,0,1,0,0,0,3,.272,.362,.391,.752,11,7,-0.025,0.42,0.006,-0.031%,-0.01%,0.42,-0.1,1,1,2B,9/27/2019
['Roberto PerezC'],Cleveland Indians,3,0,0,0,0,3,3,.239,.321,.452,.774,19,13,-0.052,0.64,0.000,-0.052%,-0.03%,0.65,-0.7,11,1,,9/27/2019
['Greg AllenLF'],Cleveland Indians,3,1,1,0,0,0,3,.230,.288,.348,.636,8,6,0.010,0.72,0.040,-0.030%,0.01%,0.72,-0.0,3,0,,9/27/2019
['Ryan Flaherty3B'],Cleveland Indians,3,1,1,1,0,1,3,.150,.150,.250,.400,16,8,0.106,0.79,0.125,-0.020%,0.06%,0.79,0.9,0,1,2B,9/27/2019
['Zach PlesacP'],Cleveland Indians,0,0,0,0,0,0,1,,,,,2,1,-0.020,1.42,0.000,-0.020%,-0.01%,1.43,-0.2,1,0,SH,9/27/2019
['Bradley ZimmerPH'],Cleveland Indians,1,0,0,0,0,0,1,.000,.000,.000,.000,4,2,-0.035,1.34,0.000,-0.035%,-0.02%,1.35,-0.3,,,,9/27/2019
['Nick GoodyP'],Cleveland Indians,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/27/2019
['Adam CimberP'],Cleveland Indians,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/27/2019
['James KarinchakP'],Cleveland Indians,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/27/2019
['Jake BauersPH'],Cleveland Indians,1,0,0,0,0,1,1,.224,.308,.372,.680,5,3,-0.002,0.07,0.000,-0.002%,-0.00%,0.07,-0.1,,,,9/27/2019
['Dan OteroP'],Cleveland Indians,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/27/2019
Team Totals,Cleveland Indians,28,2,3,2,0,8,30,.107,.103,.179,.282,111,73,-0.198,0.65,0.187,-0.386%,-0.12%,0.66,-2.9,24,4,,9/27/2019
['Akil BaddooCF'],Detroit Tigers,5,0,0,0,0,2,5,.274,.361,.468,.829,14,11,-0.074,0.59,0.000,-0.074%,-0.01%,0.14,-1.3,1,0,,7/5/2021
['Jonathan Schoop1B'],Detroit Tigers,5,0,0,0,0,3,5,.278,.325,.479,.804,18,15,-0.056,0.41,0.000,-0.056%,-0.01%,0.10,-1.0,11,2,,7/5/2021
['Miguel CabreraDH'],Detroit Tigers,5,2,2,0,0,1,5,.241,.297,.354,.652,17,12,0.069,0.50,0.081,-0.012%,0.01%,0.12,0.3,,,,7/5/2021
['Eric HaaseC'],Detroit Tigers,5,0,0,0,0,2,5,.248,.299,.547,.847,23,18,-0.101,0.85,0.000,-0.101%,-0.01%,0.20,-1.0,9,0,,7/5/2021
['Jeimer Candelario3B'],Detroit Tigers,3,1,2,0,1,0,5,.270,.354,.379,.734,25,16,0.163,0.68,0.164,0.000%,0.02%,0.16,1.9,1,4,"2·2B,HBP",7/5/2021
['Robbie GrossmanLF'],Detroit Tigers,2,2,1,0,2,0,4,.224,.347,.381,.728,23,11,0.048,1.31,0.077,-0.030%,0.01%,0.31,0.9,2,0,,7/5/2021
['Nomar MazaraRF'],Detroit Tigers,4,1,1,2,0,0,4,.214,.282,.331,.614,12,7,0.121,1.62,0.146,-0.024%,0.02%,0.39,2.1,0,0,,7/5/2021
['Willi Castro2B'],Detroit Tigers,3,0,1,1,0,0,4,.222,.288,.351,.639,4,4,0.004,0.95,0.057,-0.053%,0.00%,0.23,-0.8,1,3,SH,7/5/2021
['Zack ShortSS'],Detroit Tigers,3,1,1,3,0,2,4,.273,.422,.515,.937,17,12,-0.005,0.74,0.057,-0.062%,-0.00%,0.18,1.0,0,4,"HR,SF",7/5/2021
[''],Detroit Tigers,,,,,,,,,,,,,,,,,,,,,,,,7/5/2021
['Wily PeraltaP'],Detroit Tigers,,,,,,,,,,,,,,,,,,,,,2,1,,7/5/2021
['Erasmo RamirezP'],Detroit Tigers,,,,,,,,,,,,,,,,,,,,,0,0,,7/5/2021
['Bryan GarciaP'],Detroit Tigers,,,,,,,,,,,,,,,,,,,,,0,0,,7/5/2021
Team Totals,Detroit Tigers,35,7,8,6,3,10,41,.229,.300,.371,.671,153,106,0.169,0.82,0.582,-0.412%,0.02%,0.20,2.4,27,14,,7/5/2021
['Ramon LaureanoCF'],Oakland Athletics,4,2,2,0,1,1,5,.238,.323,.456,.779,16,10,0.161,0.79,0.189,-0.029%,0.18%,1.47,2.0,1,0,"2B,SB",7/6/2021
['Elvis AndrusSS'],Oakland Athletics,5,2,3,1,0,0,5,.234,.277,.311,.588,12,8,0.169,0.86,0.183,-0.014%,0.19%,1.62,1.7,0,1,"2B,SB",7/6/2021
['Matt Olson1B'],Oakland Athletics,3,1,1,2,1,0,4,.283,.373,.549,.923,14,7,0.043,1.11,0.088,-0.045%,0.05%,2.08,0.7,3,0,,7/6/2021
['Matt Chapman3B'],Oakland Athletics,4,0,1,0,0,2,4,.230,.326,.395,.721,15,9,-0.040,0.96,0.048,-0.088%,-0.04%,1.80,-0.1,2,2,,7/6/2021
['Chad PinderLF-RF'],Oakland Athletics,3,0,1,1,0,0,3,.214,.262,.351,.614,12,7,0.075,0.93,0.105,-0.030%,0.08%,1.74,0.6,2,0,,7/6/2021
['Seth BrownPH-RF'],Oakland Athletics,1,0,0,0,0,1,1,.190,.265,.405,.670,5,3,-0.027,0.92,0.000,-0.027%,-0.03%,1.72,-0.3,2,0,,7/6/2021
['Jed Lowrie2B'],Oakland Athletics,4,0,2,1,0,1,4,.254,.330,.400,.730,16,10,-0.039,0.85,0.028,-0.067%,-0.04%,1.58,-0.7,0,0,2B,7/6/2021
['Sean MurphyC'],Oakland Athletics,4,0,0,0,0,2,4,.221,.318,.416,.734,16,10,-0.092,0.73,0.000,-0.092%,-0.10%,1.36,-1.7,10,0,GDP,7/6/2021
['Stephen PiscottyRF'],Oakland Athletics,2,1,1,0,0,1,2,.221,.287,.366,.653,9,6,0.046,0.59,0.056,-0.010%,0.05%,1.11,0.4,3,0,2B,7/6/2021
['Tony KempPH-LF'],Oakland Athletics,2,0,0,0,0,0,2,.257,.382,.413,.795,7,4,-0.042,0.81,0.000,-0.042%,-0.05%,1.50,-0.4,1,0,,7/6/2021
['Frank SchwindelDH'],Oakland Athletics,4,0,0,0,0,2,4,.200,.200,.467,.667,12,9,-0.091,0.79,0.000,-0.091%,-0.10%,1.48,-1.0,,,,7/6/2021
[''],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,,,,7/6/2021
['Chris BassittP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,0,,7/6/2021
['J.B. WendelkenP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,0,,7/6/2021
['Yusmeiro PetitP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,0,,7/6/2021
['Deolis GuerraP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,0,,7/6/2021
['Burch SmithP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,0,,7/6/2021
Team Totals,Oakland Athletics,36,6,11,5,2,10,38,.306,.342,.417,.759,134,83,0.163,0.85,0.697,-0.535%,0.18%,1.60,1.3,24,3,,7/6/2021
['Tommy Edman2B'],St. Louis Cardinals,4,1,0,0,1,2,5,.308,.411,.484,.895,20,14,-0.035,0.97,0.052,-0.086%,-0.02%,1.12,-0.6,2,2,SB,5/7/2022
['Paul Goldschmidt1B'],St. Louis Cardinals,5,1,2,0,0,2,5,.276,.372,.388,.759,16,11,-0.060,0.86,0.031,-0.091%,-0.04%,0.99,-0.4,6,2,2B,5/7/2022
['Nolan Arenado3B'],St. Louis Cardinals,5,0,2,1,0,1,5,.347,.418,.653,1.071,13,11,0.046,0.69,0.096,-0.049%,0.03%,0.79,0.2,1,0,,5/7/2022
"[""Tyler O'NeillLF""]",St. Louis Cardinals,4,1,1,0,1,1,5,.206,.277,.330,.607,24,16,-0.048,0.50,0.020,-0.068%,-0.03%,0.58,-0.2,1,0,GDP,5/7/2022
['Juan YepezDH'],St. Louis Cardinals,5,1,2,0,0,0,5,.438,.438,.625,1.063,16,11,0.022,0.47,0.045,-0.023%,0.01%,0.54,-0.2,,,,5/7/2022
['Dylan CarlsonRF'],St. Louis Cardinals,5,1,1,3,0,1,5,.208,.264,.313,.577,21,12,0.037,0.67,0.090,-0.054%,0.03%,0.77,1.3,4,0,HR,5/7/2022
['Harrison BaderCF'],St. Louis Cardinals,4,2,3,0,1,0,5,.247,.320,.360,.680,23,11,0.099,0.46,0.099,-0.001%,0.07%,0.53,1.1,0,0,SB,5/7/2022
['Yadier MolinaC'],St. Louis Cardinals,4,0,1,1,0,3,4,.230,.230,.295,.525,18,13,-0.002,1.06,0.064,-0.066%,-0.00%,1.22,-0.2,6,1,,5/7/2022
['Paul DeJongSS'],St. Louis Cardinals,4,0,2,2,0,0,4,.135,.217,.216,.433,8,6,0.097,0.99,0.132,-0.035%,0.07%,1.14,1.4,3,2,,5/7/2022
[''],St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,,,,5/7/2022
['Steven MatzP'],St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,0,0,,5/7/2022
['Jake WoodfordP'],St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,1,0,,5/7/2022
['Packy NaughtonP'],St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,0,0,,5/7/2022
['Nick WittgrenP'],St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,0,0,,5/7/2022
['Kodi WhitleyP'],St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,0,0,,5/7/2022
['T.J. McFarlandP'],St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,0,0,,5/7/2022
Team Totals,St. Louis Cardinals,40,7,14,7,3,10,43,.350,.395,.450,.845,159,105,0.156,0.71,0.629,-0.473%,0.11%,0.82,2.5,24,7,,5/7/2022
['Taylor WardLF'],Los Angeles Angels,4,0,1,0,0,1,4,.250,.250,.250,.500,10,8,-0.057,0.95,0.041,-0.098,-0.03%,0.96,-0.5,2,0,"SB,GDP",3/30/2023
['Mike TroutCF'],Los Angeles Angels,3,0,0,0,1,0,4,.000,.250,.000,.250,21,9,-0.027,0.95,0.044,-0.071,-0.02%,0.97,-0.3,1,0,,3/30/2023
['Shohei OhtaniDH-DH'],Los Angeles Angels,3,0,1,0,1,2,4,.333,.500,.333,.833,16,9,0.048,1.03,0.074,-0.026,0.03%,1.05,0.5,0,0,IW,3/30/2023
['Anthony Rendon3B'],Los Angeles Angels,3,0,0,0,1,2,4,.000,.250,.000,.250,21,10,-0.115,1.33,0.013,-0.127,-0.07%,1.35,-1.1,2,0,,3/30/2023
['Hunter RenfroeRF'],Los Angeles Angels,4,0,0,0,0,1,4,.000,.000,.000,.000,12,8,-0.162,1.69,0.000,-0.162,-0.10%,1.71,-1.0,2,0,,3/30/2023
['Luis Rengifo2B'],Los Angeles Angels,3,0,0,0,1,0,4,.000,.250,.000,.250,21,14,-0.005,1.35,0.080,-0.085,-0.00%,1.37,-0.5,1,1,,3/30/2023
['Brett PhillipsPR'],Los Angeles Angels,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3/30/2023
['Brandon Drury1B'],Los Angeles Angels,4,0,0,0,0,1,4,.000,.000,.000,.000,14,10,-0.158,1.66,0.000,-0.158,-0.10%,1.69,-0.8,3,1,,3/30/2023
['Gio UrshelaSS'],Los Angeles Angels,4,1,2,0,0,1,4,.500,.500,.500,1.000,26,18,0.043,1.29,0.129,-0.086,0.03%,1.31,0.6,1,0,,3/30/2023
"[""Logan O'HoppeC""]",Los Angeles Angels,3,0,1,1,0,0,3,.333,.333,.333,.667,14,8,0.030,1.41,0.081,-0.052,0.02%,1.43,0.1,12,0,,3/30/2023
[''],Los Angeles Angels,,,,,,,,,,,,,,,,,,,,,,,,3/30/2023
['Shohei OhtaniP'],Los Angeles Angels,,,,,,,,,,,,,,,,,,,,,0,0,,3/30/2023
['Jimmy HergetP'],Los Angeles Angels,,,,,,,,,,,,,,,,,,,,,0,1,,3/30/2023
['Aaron LoupP'],Los Angeles Angels,,,,,,,,,,,,,,,,,,,,,0,0,,3/30/2023
['Ryan TeperaP'],Los Angeles Angels,,,,,,,,,,,,,,,,,,,,,0,0,,3/30/2023
Team Totals,Los Angeles Angels,31,1,5,1,4,8,35,.161,.257,.161,.418,155,94,-0.403,1.28,0.462,-0.865,-0.24%,1.30,-3.1,24,3,,3/30/2023
