,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Jordy MercerSS'],Pittsburgh Pirates,4,0,2,2,0,0,4,.257,.330,.379,.709,12,8,0.090,0.83,0.107,-0.017%,0.01%,0.16,0.9,0,3,,9/20/2016
['Steven BraultP'],Pittsburgh Pirates,2,1,1,0,0,0,2,.250,.250,.250,.500,9,5,0.028,0.64,0.037,-0.009%,0.00%,0.12,0.3,1,0,,9/20/2016
['Jared HughesP'],Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/20/2016
['Alen HansonPH'],Pittsburgh Pirates,1,0,0,0,0,0,1,.273,.385,.364,.748,1,1,-0.024,0.79,0.000,-0.024%,-0.00%,0.15,-0.6,,,,9/20/2016
['David Freese1B'],Pittsburgh Pirates,1,0,0,0,0,1,1,.267,.350,.407,.758,5,3,-0.004,0.14,0.000,-0.004%,0%,0.03,-0.1,2,0,,9/20/2016
Team Totals,Pittsburgh Pirates,37,6,13,6,2,8,39,.351,.385,.432,.817,158,100,0.326,0.76,0.755,-0.428%,0.04%,0.14,1.5,27,11,,9/20/2016
['Billy BurnsCF'],Kansas City Royals,6,1,1,0,0,2,6,.235,.272,.297,.570,19,14,0.003,0.35,0.035,-0.032%,0%,0.00,-1.0,3,0,,9/25/2016
['Whit Merrifield1B'],Kansas City Royals,5,2,3,1,0,1,5,.287,.321,.398,.719,29,19,0.160,0.62,0.189,-0.029%,0%,0.00,1.5,9,0,"3B,2B,SB",9/25/2016
['Kendrys MoralesDH'],Kansas City Royals,5,2,3,2,0,0,5,.266,.332,.475,.807,19,13,0.091,0.42,0.101,-0.009%,0%,0.00,1.2,,,2B,9/25/2016
['Salvador PerezC'],Kansas City Royals,5,1,1,2,0,1,5,.249,.287,.443,.730,15,12,0.066,0.42,0.097,-0.031%,0%,0.00,0.5,6,0,HR,9/25/2016
['Paulo OrlandoRF'],Kansas City Royals,5,2,3,0,0,1,5,.298,.324,.399,.723,17,13,0.035,0.38,0.054,-0.019%,0%,0.00,0.7,1,0,2·SB,9/25/2016
['Alex GordonLF'],Kansas City Royals,4,2,3,3,1,1,5,.223,.318,.390,.708,21,14,0.122,0.40,0.136,-0.014%,0%,0.00,3.4,1,0,"HR,2·2B",9/25/2016
['Alcides EscobarSS'],Kansas City Royals,5,0,1,0,0,1,5,.266,.298,.359,.657,17,12,-0.016,0.42,0.016,-0.032%,0%,0.00,-0.5,2,2,,9/25/2016
['Cheslor Cuthbert3B'],Kansas City Royals,5,1,2,2,0,1,5,.277,.322,.415,.737,22,15,0.031,0.52,0.089,-0.058%,0%,0.00,0.5,2,1,HR,9/25/2016
['Adalberto Mondesí2B'],Kansas City Royals,5,1,2,2,0,2,5,.189,.230,.288,.518,14,12,0.030,0.42,0.067,-0.037%,0%,0.00,1.1,3,5,"HR,SB",9/25/2016
[''],Kansas City Royals,,,,,,,,,,,,,,,,,,,,,,,,9/25/2016
['Edinson VolquezP'],Kansas City Royals,,,,,,,,,,,,,,,,,,,,,0,0,,9/25/2016
['Peter MoylanP'],Kansas City Royals,,,,,,,,,,,,,,,,,,,,,0,1,,9/25/2016
['Dillon GeeP'],Kansas City Royals,,,,,,,,,,,,,,,,,,,,,0,0,,9/25/2016
['Brian FlynnP'],Kansas City Royals,,,,,,,,,,,,,,,,,,,,,0,0,,9/25/2016
['Joakim SoriaP'],Kansas City Royals,,,,,,,,,,,,,,,,,,,,,0,0,,9/25/2016
['Kelvin HerreraP'],Kansas City Royals,,,,,,,,,,,,,,,,,,,,,0,0,,9/25/2016
['Wade DavisP'],Kansas City Royals,,,,,,,,,,,,,,,,,,,,,0,0,,9/25/2016
