,Year,Player,League,Details
207,,Satchel Paige,NN2,"PC 4-5 (1 SV), 1.94, 77 SO"
208,1932,Lefty Grove,AL,"PHA 25-10 (7 SV), 2.84, 188 SO"
209,1932,Joe Strong,EWL,"HG 4-4, 2.07, 39 SO"
210,,Lon Warneke,NL,"CHC 22-6, 2.37, 106 SO"
211,,Roy Parnell,NSL,"MRM 5-1, 0.83, 25 SO"
212,1931,Lefty Grove,AL,"PHA 31-4 (5 SV), 2.06, 175 SO"
213,1931,Bill Walker,NL,"NYG 16-9 (5 SV), 2.26, 121 SO"
214,,Logan Hensley,NNL,"SLS 4-2, 1.63, 24 SO"
215,1930,Lefty Grove,AL,"PHA 28-5 (9 SV), 2.54, 209 SO"
216,1930,Dazzy Vance,NL,"BRO 17-15 (1 SV), 2.61, 173 SO"
217,,Ted Radcliffe,NNL,"SLS 10-2 (2 SV), 2.58, 42 SO"
218,1929,Lefty Grove,AL,"PHA 20-6 (4 SV), 2.81, 170 SO"
219,1929,Joe Strong,ANL,"TOT 9-2, 2.71, 45 SO"
220,,Bill Walker,NL,"NYG 14-7, 3.09, 65 SO"
221,,Chet Brewer,NNL,"KCM 15-2 (4 SV), 1.93, 64 SO"
222,1928,Garland Braxton,AL,"WSH 13-11 (6 SV), 2.51, 94 SO"
223,1928,Jimmy Shields,ECL,"AC 2-2, 1.51, 16 SO"
224,,Dazzy Vance,NL,"BRO 22-10 (2 SV), 2.09, 200 SO"
225,,Willie Powell,NNL,"CAG 9-6 (1 SV), 2.00, 102 SO"
226,1927,Wilcy Moore,AL,"NYY 19-7 (13 SV), 2.28, 75 SO"
227,1927,Darltie Cooper,ECL,"HBG 16-7, 2.51, 70 SO"
228,,Ray Kremer,NL,"PIT 19-8 (1 SV), 2.47, 63 SO"
229,,Bill Foster,NNL,"CAG 21-5 (1 SV), 2.03, 119 SO"
230,1926,Lefty Grove,AL,"PHA 13-13 (6 SV), 2.51, 194 SO"
231,1926,Willis Flournoy,ECL,"BRG 5-2 (1 SV), 2.32, 34 SO"
232,,Ray Kremer,NL,"PIT 20-6 (5 SV), 2.61, 74 SO"
233,,Bill Foster,NNL,"CAG 13-4 (1 SV), 1.80, 111 SO"
234,1925,Stan Coveleski,AL,"WSH 20-5, 2.84, 58 SO"
235,1925,George Britt,ECL,"BBS 5-3 (1 SV), 3.01, 57 SO"
236,,Dolf Luque,NL,"CIN 16-18, 2.63, 140 SO"
237,,Bill Foster,NNL,"TOT 6-0, 1.62, 49 SO"
238,1924,Walter Johnson,AL,"WSH 23-7, 2.72, 158 SO"
239,1924,Dave Brown,ECL,"NLG 13-8 (1 SV), 2.00, 107 SO"
240,,Dazzy Vance,NL,"BRO 28-6, 2.16, 262 SO"
241,,Bill Foster,NNL,"TOT 7-1, 2.16, 53 SO"
242,1923,Stan Coveleski,AL,"CLE 13-14 (2 SV), 2.76, 54 SO"
243,1923,Nip Winters,ECL,"HIL 10-3 (3 SV), 2.36, 95 SO"
244,,Dolf Luque,NL,"CIN 27-8 (2 SV), 1.93, 151 SO"
245,,Ed Rile,NNL,"CAG 15-7, 2.53, 69 SO"
246,1922,Red Faber,AL,"CHW 21-17 (2 SV), 2.81, 148 SO"
247,1922,Rosy Ryan,NL,"NYG 17-12 (2 SV), 3.01, 75 SO"
248,,Lewis Hampton,NNL,"ABC 12-6 (1 SV), 2.49, 46 SO"
249,1921,Red Faber,AL,"CHW 25-15 (1 SV), 2.48, 124 SO"
250,1921,Bill Doak,NL,"STL 15-6 (1 SV), 2.59, 83 SO"
251,,Bullet Rogan,NNL,"KCM 16-8 (1 SV), 1.72, 124 SO"
252,1920,Bob Shawkey,AL,"NYY 20-13 (2 SV), 2.45, 126 SO"
253,1920,Grover Alexander,NL,"CHC 27-14 (5 SV), 1.91, 173 SO"
254,,Dave Brown,NNL,"CAG 13-3, 1.82, 101 SO"
255,1919,Walter Johnson,AL,"WSH 20-14 (2 SV), 1.49, 147 SO"
256,1919,Grover Alexander,NL,"CHC 16-11 (1 SV), 1.72, 121 SO"
257,1918,Walter Johnson,AL,"WSH 23-13 (3 SV), 1.27, 162 SO"
258,1918,Hippo Vaughn,NL,"CHC 22-10, 1.74, 148 SO"
259,1917,Eddie Cicotte,AL,"CHW 28-12 (4 SV), 1.53, 150 SO"
260,1917,Grover Alexander,NL,"PHI 30-13, 1.83, 200 SO"
261,1916,Babe Ruth,AL,"BOS 23-12 (1 SV), 1.75, 170 SO"
262,1916,Grover Alexander,NL,"PHI 33-12 (3 SV), 1.55, 167 SO"
263,1915,Smoky Joe Wood,AL,"BOS 15-5 (2 SV), 1.49, 63 SO"
264,1915,Earl Moseley,FL,"NEW 15-15 (1 SV), 1.91, 142 SO"
265,,Grover Alexander,NL,"PHI 31-10 (3 SV), 1.22, 241 SO"
266,1914,Dutch Leonard,AL,"BOS 19-5 (3 SV), 0.96, 176 SO"
267,1914,Claude Hendrix,FL,"CHI 29-10 (5 SV), 1.69, 189 SO"
268,,Bill Doak,NL,"STL 19-6 (1 SV), 1.72, 118 SO"
269,1913,Walter Johnson,AL,"WSH 36-7 (2 SV), 1.14, 243 SO"
270,1913,Christy Mathewson,NL,"NYG 25-11 (2 SV), 2.06, 93 SO"
271,1912,Walter Johnson,AL,"WSH 33-12 (2 SV), 1.39, 303 SO"
272,1912,Jeff Tesreau,NL,"NYG 17-7 (1 SV), 1.96, 119 SO"
273,1911,Vean Gregg,AL,"CLE 23-7, 1.80, 125 SO"
274,1911,Christy Mathewson,NL,"NYG 26-13 (3 SV), 1.99, 141 SO"
275,1910,Ed Walsh,AL,"CHW 18-20 (5 SV), 1.27, 258 SO"
276,1910,King Cole,NL,"CHC 20-4 (1 SV), 1.80, 114 SO"
277,1909,Harry Krause,AL,"PHA 18-8, 1.39, 139 SO"
278,1909,Christy Mathewson,NL,"NYG 25-6 (2 SV), 1.14, 149 SO"
279,1908,Addie Joss,AL,"CLE 24-11 (2 SV), 1.16, 130 SO"
280,1908,Christy Mathewson,NL,"NYG 37-11 (5 SV), 1.43, 259 SO"
281,1907,Ed Walsh,AL,"CHW 24-18 (4 SV), 1.60, 206 SO"
282,1907,Jack Pfiester,NL,"CHC 14-9, 1.15, 90 SO"
283,1906,Doc White,AL,"CHW 18-6, 1.52, 95 SO"
284,1906,Mordecai Brown,NL,"CHC 26-6 (3 SV), 1.04, 144 SO"
285,1905,Rube Waddell,AL,"PHA 27-10, 1.48, 287 SO"
286,1905,Christy Mathewson,NL,"NYG 31-9 (3 SV), 1.28, 206 SO"
287,1904,Addie Joss,AL,"CLE 14-10, 1.59, 83 SO"
288,1904,Joe McGinnity,NL,"NYG 35-8 (5 SV), 1.61, 144 SO"
289,1903,Earl Moore,AL,"CLE 20-8, 1.74, 148 SO"
290,1903,Sam Leever,NL,"PIT 25-7 (1 SV), 2.06, 90 SO"
291,1902,Ed Siever,AL,"DET 8-11 (1 SV), 1.91, 36 SO"
292,1902,Jack Taylor,NL,"CHC 23-11 (1 SV), 1.29, 88 SO"
293,1901,Cy Young,AL,"BOS 33-10, 1.62, 158 SO"
294,1901,Jesse Tannehill,NL,"PIT 18-10 (1 SV), 2.18, 118 SO"
