,Year & Common,League,P,C,1B,2B,3B,SS,OF,OF,OF,Utility,Team
13,2009,AL,Mark Buehrle,Joe Mauer,Mark Teixeira,Placido Polanco,Evan Longoria,Derek Jeter,Torii Hunter,Ichiro Suzuki,Adam Jones,,
14,2008,AL,Mike Mussina,Joe Mauer,Carlos Pena,Dustin Pedroia,Adrián Beltré,Michael Young,Torii Hunter,Ichiro Suzuki,Grady Sizemore,,
15,2007,AL,Johan Santana,Ivan Rodriguez,Kevin Youkilis,Placido Polanco,Adrián Beltré,Orlando Cabrera,Torii Hunter,Ichiro Suzuki,Grady Sizemore,,
16,2006,AL,Kenny Rogers,Ivan Rodriguez,Mark Teixeira,Mark Grudzielanek,Eric Chavez,Derek Jeter,Vernon Wells,Torii Hunter,Ichiro Suzuki,,
17,2005,AL,Kenny Rogers,Jason Varitek,Mark Teixeira,Orlando Hudson,Eric Chavez,Derek Jeter,Vernon Wells,Torii Hunter,Ichiro Suzuki,,
18,2004,AL,Kenny Rogers,Ivan Rodriguez,Darin Erstad,Bret Boone,Eric Chavez,Derek Jeter,Vernon Wells,Torii Hunter,Ichiro Suzuki,,
19,2003,AL,Mike Mussina,Bengie Molina,John Olerud,Bret Boone,Eric Chavez,Alex Rodriguez,Torii Hunter,Mike Cameron,Ichiro Suzuki,,
20,2002,AL,Kenny Rogers,Bengie Molina,John Olerud,Bret Boone,Eric Chavez,Alex Rodriguez,Torii Hunter,Ichiro Suzuki,Darin Erstad,,
21,2001,AL,Mike Mussina,Ivan Rodriguez,Doug Mientkiewicz,Roberto Alomar,Eric Chavez,Omar Vizquel,Torii Hunter,Mike Cameron,Ichiro Suzuki,,
22,2000,AL,Kenny Rogers,Ivan Rodriguez,John Olerud,Roberto Alomar,Travis Fryman,Omar Vizquel,Jermaine Dye,Bernie Williams,Darin Erstad,,
23,1999,AL,Mike Mussina,Ivan Rodriguez,Rafael Palmeiro,Roberto Alomar,Scott Brosius,Omar Vizquel,Bernie Williams,Ken Griffey Jr.,Shawn Green,,
24,1998,AL,Mike Mussina,Ivan Rodriguez,Rafael Palmeiro,Roberto Alomar,Robin Ventura,Omar Vizquel,Jim Edmonds,Bernie Williams,Ken Griffey Jr.,,
25,1997,AL,Mike Mussina,Ivan Rodriguez,Rafael Palmeiro,Chuck Knoblauch,Matt Williams,Omar Vizquel,Jim Edmonds,Bernie Williams,Ken Griffey Jr.,,
26,1996,AL,Mike Mussina,Ivan Rodriguez,J.T. Snow,Roberto Alomar,Robin Ventura,Omar Vizquel,Kenny Lofton,Ken Griffey Jr.,Jay Buhner,,
27,1995,AL,Mark Langston,Ivan Rodriguez,J.T. Snow,Roberto Alomar,Wade Boggs,Omar Vizquel,Devon White,Kenny Lofton,Ken Griffey Jr.,,
28,1994,AL,Mark Langston,Ivan Rodriguez,Don Mattingly,Roberto Alomar,Wade Boggs,Omar Vizquel,Devon White,Kenny Lofton,Ken Griffey Jr.,,
29,1993,AL,Mark Langston,Ivan Rodriguez,Don Mattingly,Roberto Alomar,Robin Ventura,Omar Vizquel,Devon White,Kenny Lofton,Ken Griffey Jr.,,
30,1992,AL,Mark Langston,Ivan Rodriguez,Don Mattingly,Roberto Alomar,Robin Ventura,Cal Ripken Jr.,Devon White,Kirby Puckett,Ken Griffey Jr.,,
31,1991,AL,Mark Langston,Tony Peña,Don Mattingly,Roberto Alomar,Robin Ventura,Cal Ripken Jr.,Devon White,Kirby Puckett,Ken Griffey Jr.,,
32,1990,AL,Mike Boddicker,Sandy Alomar,Mark McGwire,Harold Reynolds,Kelly Gruber,Ozzie Guillen,Gary Pettis,Ken Griffey Jr.,Ellis Burks,,
33,1989,AL,Bret Saberhagen,Bob Boone,Don Mattingly,Harold Reynolds,Gary Gaetti,Tony Fernandez,Gary Pettis,Devon White,Kirby Puckett,,
34,1988,AL,Mark Langston,Bob Boone,Don Mattingly,Harold Reynolds,Gary Gaetti,Tony Fernandez,Gary Pettis,Devon White,Kirby Puckett,,
35,1987,AL,Mark Langston,Bob Boone,Don Mattingly,Frank White,Gary Gaetti,Tony Fernandez,Kirby Puckett,Dave Winfield,Jesse Barfield,,
36,1986,AL,Ron Guidry,Bob Boone,Don Mattingly,Frank White,Gary Gaetti,Tony Fernandez,Gary Pettis,Kirby Puckett,Jesse Barfield,,
37,1985,AL,Ron Guidry,Lance Parrish,Don Mattingly,Lou Whitaker,George Brett,Alfredo Griffin,Gary Pettis,Dave Winfield,Dwayne Murphy,Dwight Evans,
38,1984,AL,Ron Guidry,Lance Parrish,Eddie Murray,Lou Whitaker,Buddy Bell,Alan Trammell,Dave Winfield,Dwayne Murphy,Dwight Evans,,
39,1983,AL,Ron Guidry,Lance Parrish,Eddie Murray,Lou Whitaker,Buddy Bell,Alan Trammell,Dave Winfield,Dwayne Murphy,Dwight Evans,,
40,1982,AL,Ron Guidry,Bob Boone,Eddie Murray,Frank White,Buddy Bell,Robin Yount,Dave Winfield,Dwayne Murphy,Dwight Evans,,
41,1981,AL,Mike Norris,Jim Sundberg,Mike Squires,Frank White,Buddy Bell,Alan Trammell,Rickey Henderson,Dwayne Murphy,Dwight Evans,,
42,1980,AL,Mike Norris,Jim Sundberg,Cecil Cooper,Frank White,Buddy Bell,Alan Trammell,Willie Wilson,Dwayne Murphy,Fred Lynn,,
43,1979,AL,Jim Palmer,Jim Sundberg,Cecil Cooper,Frank White,Buddy Bell,Rick Burleson,Sixto Lezcano,Fred Lynn,Dwight Evans,,
44,1978,AL,Jim Palmer,Jim Sundberg,Chris Chambliss,Frank White,Graig Nettles,Mark Belanger,Rick Miller,Fred Lynn,Dwight Evans,,
45,1977,AL,Jim Palmer,Jim Sundberg,Jim Spencer,Frank White,Graig Nettles,Mark Belanger,Juan Beniquez,Carl Yastrzemski,Al Cowens,,
46,1976,AL,Jim Palmer,Jim Sundberg,George Scott,Bobby Grich,Aurelio Rodriguez,Mark Belanger,Joe Rudi,Rick Manning,Dwight Evans,,
47,1975,AL,Jim Kaat,Thurman Munson,George Scott,Bobby Grich,Brooks Robinson,Mark Belanger,Joe Rudi,Paul Blair,Fred Lynn,,
48,1974,AL,Jim Kaat,Thurman Munson,George Scott,Bobby Grich,Brooks Robinson,Mark Belanger,Joe Rudi,Paul Blair,Amos Otis,,
49,1973,AL,Jim Kaat,Thurman Munson,George Scott,Bobby Grich,Brooks Robinson,Mark Belanger,Mickey Stanley,Paul Blair,Amos Otis,,
50,1972,AL,Jim Kaat,Carlton Fisk,George Scott,Doug Griffin,Brooks Robinson,Ed Brinkman,Bobby Murcer,Paul Blair,Ken Berry,,
51,1971,AL,Jim Kaat,Ray Fosse,George Scott,Davey Johnson,Brooks Robinson,Mark Belanger,Paul Blair,Carl Yastrzemski,Amos Otis,,
52,1970,AL,Jim Kaat,Ray Fosse,Jim Spencer,Davey Johnson,Brooks Robinson,Luis Aparicio,Mickey Stanley,Paul Blair,Ken Berry,,
53,1969,AL,Jim Kaat,Bill Freehan,Joe Pepitone,Davey Johnson,Brooks Robinson,Mark Belanger,Mickey Stanley,Paul Blair,Carl Yastrzemski,,
54,1968,AL,Jim Kaat,Bill Freehan,George Scott,Bobby Knoop,Brooks Robinson,Luis Aparicio,Mickey Stanley,Carl Yastrzemski,Reggie Smith,,
55,1967,AL,Jim Kaat,Bill Freehan,George Scott,Bobby Knoop,Brooks Robinson,Jim Fregosi,Paul Blair,Carl Yastrzemski,Al Kaline,,
56,1966,AL,Jim Kaat,Bill Freehan,Joe Pepitone,Bobby Knoop,Brooks Robinson,Luis Aparicio,Tony Oliva,Tommie Agee,Al Kaline,,
57,1965,AL,Jim Kaat,Bill Freehan,Joe Pepitone,Bobby Richardson,Brooks Robinson,Zoilo Versalles,Tom Tresh,Carl Yastrzemski,Al Kaline,,
58,1964,AL,Jim Kaat,Elston Howard,Vic Power,Bobby Richardson,Brooks Robinson,Luis Aparicio,Vic Davalillo,Jim Landis,Al Kaline,,
59,1963,AL,Jim Kaat,Elston Howard,Vic Power,Bobby Richardson,Brooks Robinson,Zoilo Versalles,Carl Yastrzemski,Jim Landis,Al Kaline,,
60,1962,AL,Jim Kaat,Earl Battey,Vic Power,Bobby Richardson,Brooks Robinson,Luis Aparicio,Jim Landis,Al Kaline,Mickey Mantle,,
61,1961,AL,Frank Lary,Earl Battey,Vic Power,Bobby Richardson,Brooks Robinson,Luis Aparicio,Jim Piersall,Jim Landis,Al Kaline,,
62,1960,AL,Bobby Shantz,Earl Battey,Vic Power,Nellie Fox,Brooks Robinson,Luis Aparicio,Roger Maris,Minnie Minoso,Jim Landis,,
63,1959,AL,Bobby Shantz,Sherm Lollar,Vic Power,Nellie Fox,Frank Malzone,Luis Aparicio,Minnie Minoso,Al Kaline,Jackie Jensen,,
64,1958,AL,Bobby Shantz,Sherm Lollar,Vic Power,Frank Bolling,Frank Malzone,Luis Aparicio,Jim Piersall,Norm Siebern,Al Kaline,,
65,1957,AL,Bobby Shantz,Sherm Lollar,Gil Hodges,Nellie Fox,Frank Malzone,Roy McMillan,Minnie Minoso,Willie Mays,Al Kaline,,
0,2022,NL,Max Fried,J.T. Realmuto,Christian Walker,Brendan Rodgers,Nolan Arenado,Dansby Swanson,Ian Happ,Trent Grisham,Mookie Betts,Brendan Donovan,St. Louis Cardinals
1,2021,NL,Max Fried,Jacob Stallings,Paul Goldschmidt,Tommy Edman,Nolan Arenado,Brandon Crawford,Tyler O'Neill,Adam Duvall,Harrison Bader,St. Louis Cardinals,
2,2020,NL,Max Fried,Tucker Barnhart,Anthony Rizzo,Kolten Wong,Nolan Arenado,Javier Báez,Tyler O'Neill,Trent Grisham,Mookie Betts,Chicago Cubs,
3,2019,NL,Zack Greinke,J.T. Realmuto,Anthony Rizzo,Kolten Wong,Nolan Arenado,Nick Ahmed,Lorenzo Cain,Cody Bellinger,David Peralta,,
4,2018,NL,Zack Greinke,Yadier Molina,Anthony Rizzo,DJ LeMahieu,Nolan Arenado,Nick Ahmed,Nick Markakis,Corey Dickerson,Ender Inciarte,Freddie Freeman,
5,2017,NL,Zack Greinke,Tucker Barnhart,Paul Goldschmidt,DJ LeMahieu,Nolan Arenado,Brandon Crawford,Marcell Ozuna,Ender Inciarte,Jason Heyward,,
6,2016,NL,Zack Greinke,Buster Posey,Anthony Rizzo,Joe Panik,Nolan Arenado,Brandon Crawford,Starling Marte,Ender Inciarte,Jason Heyward,,
7,2015,NL,Zack Greinke,Yadier Molina,Paul Goldschmidt,Dee Strange-Gordon,Nolan Arenado,Brandon Crawford,Starling Marte,AJ Pollock,Jason Heyward,,
8,2014,NL,Zack Greinke,Yadier Molina,Adrián González,DJ LeMahieu,Nolan Arenado,Andrelton Simmons,Christian Yelich,Juan Lagares,Jason Heyward,,
9,2013,NL,Adam Wainwright,Yadier Molina,Paul Goldschmidt,Brandon Phillips,Nolan Arenado,Andrelton Simmons,Gerardo Parra,Carlos González,Carlos Gómez,,
10,2012,NL,Mark Buehrle,Yadier Molina,Adam LaRoche,Darwin Barney,Chase Headley,Jimmy Rollins,Carlos González,Andrew McCutchen,Jason Heyward,,
11,2011,NL,Clayton Kershaw,Yadier Molina,Joey Votto,Brandon Phillips,Placido Polanco,Troy Tulowitzki,Andre Ethier,Gerardo Parra,Matt Kemp,,
12,2010,NL,Bronson Arroyo,Yadier Molina,Albert Pujols,Brandon Phillips,Scott Rolen,Troy Tulowitzki,Carlos González,Michael Bourn,Shane Victorino,,
13,2009,NL,Adam Wainwright,Yadier Molina,Adrián González,Orlando Hudson,Ryan Zimmerman,Jimmy Rollins,Matt Kemp,Michael Bourn,Shane Victorino,,
14,2008,NL,Greg Maddux,Yadier Molina,Adrián González,Brandon Phillips,David Wright,Jimmy Rollins,Carlos Beltrán,Nate McLouth,Shane Victorino,,
15,2007,NL,Greg Maddux,Russell Martin,Derrek Lee,Orlando Hudson,David Wright,Jimmy Rollins,Aaron Rowand,Carlos Beltrán,Jeff Francoeur,Andruw Jones,
16,2006,NL,Greg Maddux,Brad Ausmus,Albert Pujols,Orlando Hudson,Scott Rolen,Omar Vizquel,Mike Cameron,Carlos Beltrán,Andruw Jones,,
17,2005,NL,Greg Maddux,Mike Matheny,Derrek Lee,Luis Castillo,Mike Lowell,Omar Vizquel,Bobby Abreu,Jim Edmonds,Andruw Jones,,
18,2004,NL,Greg Maddux,Mike Matheny,Todd Helton,Luis Castillo,Scott Rolen,Cesar Izturis,Jim Edmonds,Steve Finley,Andruw Jones,,
19,2003,NL,Mike Hampton,Mike Matheny,Derrek Lee,Luis Castillo,Scott Rolen,Edgar Renteria,Jim Edmonds,José Cruz,Andruw Jones,,
20,2002,NL,Greg Maddux,Brad Ausmus,Todd Helton,Fernando Vina,Scott Rolen,Edgar Renteria,Jim Edmonds,Larry Walker,Andruw Jones,,
21,2001,NL,Greg Maddux,Brad Ausmus,Todd Helton,Fernando Vina,Scott Rolen,Orlando Cabrera,Jim Edmonds,Larry Walker,Andruw Jones,,
22,2000,NL,Greg Maddux,Mike Matheny,J.T. Snow,Pokey Reese,Scott Rolen,Neifi Perez,Jim Edmonds,Steve Finley,Andruw Jones,,
23,1999,NL,Greg Maddux,Mike Lieberthal,J.T. Snow,Pokey Reese,Robin Ventura,Rey Ordóñez,Steve Finley,Larry Walker,Andruw Jones,,
24,1998,NL,Greg Maddux,Charles Johnson,J.T. Snow,Bret Boone,Scott Rolen,Rey Ordóñez,Barry Bonds,Larry Walker,Andruw Jones,,
25,1997,NL,Greg Maddux,Charles Johnson,J.T. Snow,Craig Biggio,Ken Caminiti,Rey Ordóñez,Raul Mondesí,Barry Bonds,Larry Walker,,
26,1996,NL,Greg Maddux,Charles Johnson,Mark Grace,Craig Biggio,Ken Caminiti,Barry Larkin,Barry Bonds,Steve Finley,Marquis Grissom,,
27,1995,NL,Greg Maddux,Charles Johnson,Mark Grace,Craig Biggio,Ken Caminiti,Barry Larkin,Raul Mondesí,Steve Finley,Marquis Grissom,,
28,1994,NL,Greg Maddux,Tom Pagnozzi,Jeff Bagwell,Craig Biggio,Matt Williams,Barry Larkin,Barry Bonds,Darren Lewis,Marquis Grissom,,
29,1993,NL,Greg Maddux,Kirt Manwaring,Mark Grace,Robby Thompson,Matt Williams,Jay Bell,Barry Bonds,Larry Walker,Marquis Grissom,,
30,1992,NL,Greg Maddux,Tom Pagnozzi,Mark Grace,Jose Lind,Terry Pendleton,Ozzie Smith,Barry Bonds,Andy Van Slyke,Larry Walker,,
31,1991,NL,Greg Maddux,Tom Pagnozzi,Will Clark,Ryne Sandberg,Matt Williams,Ozzie Smith,Barry Bonds,Andy Van Slyke,Tony Gwynn,,
32,1990,NL,Greg Maddux,Benito Santiago,Andres Galarraga,Ryne Sandberg,Tim Wallach,Ozzie Smith,Barry Bonds,Andy Van Slyke,Tony Gwynn,,
33,1989,NL,Ron Darling,Benito Santiago,Andres Galarraga,Ryne Sandberg,Terry Pendleton,Ozzie Smith,Eric Davis,Andy Van Slyke,Tony Gwynn,,
34,1988,NL,Orel Hershiser,Benito Santiago,Keith Hernandez,Ryne Sandberg,Tim Wallach,Ozzie Smith,Andre Dawson,Eric Davis,Andy Van Slyke,,
35,1987,NL,Rick Reuschel,Mike LaValliere,Keith Hernandez,Ryne Sandberg,Terry Pendleton,Ozzie Smith,Andre Dawson,Eric Davis,Tony Gwynn,,
36,1986,NL,Fernando Valenzuela,Jody Davis,Keith Hernandez,Ryne Sandberg,Mike Schmidt,Ozzie Smith,Willie McGee,Tony Gwynn,Dale Murphy,,
37,1985,NL,Rick Reuschel,Tony Peña,Keith Hernandez,Ryne Sandberg,Tim Wallach,Ozzie Smith,Andre Dawson,Willie McGee,Dale Murphy,,
38,1984,NL,Joaquin Andujar,Tony Peña,Keith Hernandez,Ryne Sandberg,Mike Schmidt,Ozzie Smith,Andre Dawson,Dale Murphy,Bob Dernier,,
39,1983,NL,Phil Niekro,Tony Peña,Keith Hernandez,Ryne Sandberg,Mike Schmidt,Ozzie Smith,Andre Dawson,Willie McGee,Dale Murphy,,
40,1982,NL,Phil Niekro,Gary Carter,Keith Hernandez,Manny Trillo,Mike Schmidt,Ozzie Smith,Andre Dawson,Garry Maddox,Dale Murphy,,
41,1981,NL,Steve Carlton,Gary Carter,Keith Hernandez,Manny Trillo,Mike Schmidt,Ozzie Smith,Andre Dawson,Garry Maddox,Dusty Baker,,
42,1980,NL,Phil Niekro,Gary Carter,Keith Hernandez,Doug Flynn,Mike Schmidt,Ozzie Smith,Andre Dawson,Garry Maddox,Dave Winfield,,
43,1979,NL,Phil Niekro,Bob Boone,Keith Hernandez,Manny Trillo,Mike Schmidt,Dave Concepcion,Garry Maddox,Dave Winfield,Dave Parker,,
44,1978,NL,Phil Niekro,Bob Boone,Keith Hernandez,Davey Lopes,Mike Schmidt,Larry Bowa,Garry Maddox,Ellis Valentine,Dave Parker,,
45,1977,NL,Jim Kaat,Johnny Bench,Steve Garvey,Joe Morgan,Mike Schmidt,Dave Concepcion,Cesar Geronimo,Garry Maddox,Dave Parker,,
46,1976,NL,Jim Kaat,Johnny Bench,Steve Garvey,Joe Morgan,Mike Schmidt,Dave Concepcion,Cesar Geronimo,Garry Maddox,Cesar Cedeno,,
47,1975,NL,Andy Messersmith,Johnny Bench,Steve Garvey,Joe Morgan,Ken Reitz,Dave Concepcion,Cesar Geronimo,Garry Maddox,Cesar Cedeno,,
48,1974,NL,Andy Messersmith,Johnny Bench,Steve Garvey,Joe Morgan,Doug Rader,Dave Concepcion,Cesar Geronimo,Cesar Cedeno,Bobby Bonds,,
49,1973,NL,Bob Gibson,Johnny Bench,Mike Jorgensen,Joe Morgan,Doug Rader,Roger Metzger,Willie Davis,Cesar Cedeno,Bobby Bonds,,
50,1972,NL,Bob Gibson,Johnny Bench,Wes Parker,Felix Millan,Doug Rader,Larry Bowa,Willie Davis,Roberto Clemente,Cesar Cedeno,,
51,1971,NL,Bob Gibson,Johnny Bench,Wes Parker,Tommy Helms,Doug Rader,Bud Harrelson,Willie Davis,Roberto Clemente,Bobby Bonds,,
52,1970,NL,Bob Gibson,Johnny Bench,Wes Parker,Tommy Helms,Doug Rader,Don Kessinger,Pete Rose,Tommie Agee,Roberto Clemente,,
53,1969,NL,Bob Gibson,Johnny Bench,Wes Parker,Felix Millan,Clete Boyer,Don Kessinger,Curt Flood,Pete Rose,Roberto Clemente,,
54,1968,NL,Bob Gibson,Johnny Bench,Wes Parker,Glenn Beckert,Ron Santo,Dal Maxvill,Curt Flood,Willie Mays,Roberto Clemente,,
55,1967,NL,Bob Gibson,Randy Hundley,Wes Parker,Bill Mazeroski,Ron Santo,Gene Alley,Curt Flood,Willie Mays,Roberto Clemente,,
56,1966,NL,Bob Gibson,John Roseboro,Bill White,Bill Mazeroski,Ron Santo,Gene Alley,Curt Flood,Willie Mays,Roberto Clemente,,
57,1965,NL,Bob Gibson,Joe Torre,Bill White,Bill Mazeroski,Ron Santo,Leo Cardenas,Curt Flood,Willie Mays,Roberto Clemente,,
58,1964,NL,Bobby Shantz,Johnny Edwards,Bill White,Bill Mazeroski,Ron Santo,Ruben Amaro,Curt Flood,Willie Mays,Roberto Clemente,,
59,1963,NL,Bobby Shantz,Johnny Edwards,Bill White,Bill Mazeroski,Ken Boyer,Bobby Wine,Curt Flood,Willie Mays,Roberto Clemente,,
60,1962,NL,Bobby Shantz,Del Crandall,Bill White,Ken Hubbs,Jim Davenport,Maury Wills,Willie Mays,Bill Virdon,Roberto Clemente,,
61,1961,NL,Bobby Shantz,John Roseboro,Bill White,Bill Mazeroski,Ken Boyer,Maury Wills,Willie Mays,Vada Pinson,Roberto Clemente,,
62,1960,NL,Harvey Haddix,Del Crandall,Bill White,Bill Mazeroski,Ken Boyer,Ernie Banks,Wally Moon,Willie Mays,Henry Aaron,,
63,1959,NL,Harvey Haddix,Del Crandall,Gil Hodges,Charlie Neal,Ken Boyer,Roy McMillan,Willie Mays,Jackie Brandt,Henry Aaron,,
64,1958,NL,Harvey Haddix,Del Crandall,Gil Hodges,Bill Mazeroski,Ken Boyer,Roy McMillan,Willie Mays,Frank Robinson,Henry Aaron,,
65,1957,NL,Bobby Shantz,Sherm Lollar,Gil Hodges,Nellie Fox,Frank Malzone,Roy McMillan,Minnie Minoso,Willie Mays,Al Kaline,,
