,Name,,Voted By,Inducted As,Votes,% of Ballots,Year Elected
128,Leo Durocher,1905-1991,Veterans,Manager,,,1994
129,Phil Rizzuto,1917-2007,Veterans,Player,,,1994
130,Reggie Jackson,1946-Living,BBWAA,Player,396.0,93.6%,1993
131,Rollie Fingers,1946-Living,BBWAA,Player,349.0,81.2%,1992
132,Bill McGowan,1896-1954,Veterans,Umpire,,,1992
133,Hal Newhouser,1921-1998,Veterans,Player,,,1992
134,Tom Seaver,1944-2020,BBWAA,Player,425.0,98.8%,1992
135,Rod Carew,1945-Living,BBWAA,Player,401.0,90.5%,1991
136,Fergie Jenkins,1942-Living,BBWAA,Player,334.0,75.4%,1991
137,Tony Lazzeri,1903-1946,Veterans,Player,,,1991
138,Gaylord Perry,1938-2022,BBWAA,Player,342.0,77.2%,1991
139,Bill Veeck,1914-1986,Veterans,Pioneer/Executive,,,1991
140,Joe Morgan,1943-2020,BBWAA,Player,363.0,81.8%,1990
141,Jim Palmer,1945-Living,BBWAA,Player,411.0,92.6%,1990
142,Al Barlick,1915-1995,Veterans,Umpire,,,1989
143,Johnny Bench,1947-Living,BBWAA,Player,431.0,96.4%,1989
144,Red Schoendienst,1923-2018,Veterans,Player,,,1989
145,Carl Yastrzemski,1939-Living,BBWAA,Player,423.0,94.6%,1989
146,Willie Stargell,1940-2001,BBWAA,Player,352.0,82.4%,1988
147,Ray Dandridge,1913-1994,Veterans,Player,,,1987
148,Catfish Hunter,1946-1999,BBWAA,Player,315.0,76.3%,1987
149,Billy Williams,1938-Living,BBWAA,Player,354.0,85.7%,1987
150,Bobby Doerr,1918-2017,Veterans,Player,,,1986
151,Ernie Lombardi,1908-1977,Veterans,Player,,,1986
152,Willie McCovey,1938-2018,BBWAA,Player,346.0,81.4%,1986
153,Lou Brock,1939-2020,BBWAA,Player,315.0,79.7%,1985
154,Enos Slaughter,1916-2002,Veterans,Player,,,1985
155,Arky Vaughan,1912-1952,Veterans,Player,,,1985
156,Hoyt Wilhelm,1922-2002,BBWAA,Player,331.0,83.8%,1985
157,Luis Aparicio,1934-Living,BBWAA,Player,341.0,84.6%,1984
158,Don Drysdale,1936-1993,BBWAA,Player,316.0,78.4%,1984
159,Rick Ferrell,1905-1995,Veterans,Player,,,1984
160,Harmon Killebrew,1936-2011,BBWAA,Player,335.0,83.1%,1984
161,Pee Wee Reese,1918-1999,Veterans,Player,,,1984
162,Walter Alston,1911-1984,Veterans,Manager,,,1983
163,George Kell,1922-2009,Veterans,Player,,,1983
164,Juan Marichal,1937-Living,BBWAA,Player,313.0,83.7%,1983
165,Brooks Robinson,1937-2023,BBWAA,Player,344.0,92.0%,1983
166,Henry Aaron,1934-2021,BBWAA,Player,406.0,97.8%,1982
167,Happy Chandler,1898-1991,Veterans,Pioneer/Executive,,,1982
168,Travis Jackson,1903-1987,Veterans,Player,,,1982
169,Frank Robinson,1935-2019,BBWAA,Player,370.0,89.2%,1982
170,Rube Foster,1879-1930,Veterans,Pioneer/Executive,,,1981
171,Bob Gibson,1935-2020,BBWAA,Player,337.0,84.0%,1981
172,Johnny Mize,1913-1993,Veterans,Player,,,1981
173,Al Kaline,1934-2020,BBWAA,Player,340.0,88.3%,1980
174,Chuck Klein,1904-1958,Veterans,Player,,,1980
175,Duke Snider,1926-2011,BBWAA,Player,333.0,86.5%,1980
176,Tom Yawkey,1903-1976,Veterans,Pioneer/Executive,,,1980
177,Warren Giles,1896-1979,Veterans,Pioneer/Executive,,,1979
178,Willie Mays,1931-Living,BBWAA,Player,409.0,94.7%,1979
179,Hack Wilson,1900-1948,Veterans,Player,,,1979
180,Addie Joss,1880-1911,Veterans,Player,,,1978
181,Larry MacPhail,1890-1975,Veterans,Pioneer/Executive,,,1978
182,Eddie Mathews,1931-2001,BBWAA,Player,301.0,79.4%,1978
183,Ernie Banks,1931-2015,BBWAA,Player,321.0,83.8%,1977
184,Martín Dihigo,1905-1971,Negro League,Player,,,1977
185,John Henry Lloyd,1884-1964,Negro League,Player,,,1977
186,Al Lopez,1908-2005,Veterans,Manager,,,1977
187,Amos Rusie,1871-1942,Veterans,Player,,,1977
188,Joe Sewell,1898-1990,Veterans,Player,,,1977
189,Oscar Charleston,1896-1954,Negro League,Player,,,1976
190,Roger Connor,1857-1931,Veterans,Player,,,1976
191,Cal Hubbard,1900-1977,Veterans,Umpire,,,1976
192,Bob Lemon,1920-2000,BBWAA,Player,305.0,78.6%,1976
193,Freddie Lindstrom,1905-1981,Veterans,Player,,,1976
194,Robin Roberts,1926-2010,BBWAA,Player,337.0,86.9%,1976
195,Earl Averill,1902-1983,Veterans,Player,,,1975
196,Bucky Harris,1896-1977,Veterans,Manager,,,1975
197,Billy Herman,1909-1992,Veterans,Player,,,1975
198,Judy Johnson,1899-1989,Negro League,Player,,,1975
199,Ralph Kiner,1922-2014,BBWAA,Player,273.0,75.4%,1975
200,Cool Papa Bell,1903-1991,Negro League,Player,,,1974
201,Jim Bottomley,1900-1959,Veterans,Player,,,1974
202,Jocko Conlan,1899-1989,Veterans,Umpire,,,1974
203,Whitey Ford,1928-2020,BBWAA,Player,284.0,77.8%,1974
204,Mickey Mantle,1931-1995,BBWAA,Player,322.0,88.2%,1974
205,Sam Thompson,1860-1922,Veterans,Player,,,1974
206,Roberto Clemente,1934-1972,Special Election,Player,,,1973
207,Billy Evans,1884-1956,Veterans,Umpire,,,1973
208,Monte Irvin,1919-2016,Negro League,Player,,,1973
209,George Kelly,1895-1984,Veterans,Player,,,1973
210,Warren Spahn,1921-2003,BBWAA,Player,316.0,83.2%,1973
211,Mickey Welch,1859-1941,Veterans,Player,,,1973
