,Year & Common,League,P,C,1B,2B,3B,SS,OF,OF,OF,DH,Utility
39,1983,AL, ,Lance Parrish,Eddie Murray,Lou Whitaker,Wade Boggs,Cal Ripken Jr.,Lloyd Moseby,Dave Winfield,Jim Rice,Don Baylor,
40,1982,AL, ,Lance Parrish,Cecil Cooper,Damaso Garcia,Doug DeCinces,Robin Yount,Willie Wilson,Reggie Jackson,Dave Winfield,Hal McRae,
41,1981,AL, ,Carlton Fisk,Cecil Cooper,Bobby Grich,Carney Lansford,Rick Burleson,Rickey Henderson,Dave Winfield,Dwight Evans,Al Oliver,
42,1980,AL, ,Lance Parrish,Cecil Cooper,Willie Randolph,George Brett,Robin Yount,Willie Wilson,Al Oliver,Ben Oglivie,Reggie Jackson,
0,2022,NL,None,J.T. Realmuto,Paul Goldschmidt,Jeff McNeil,Nolan Arenado,Trea Turner,Juan Soto,Kyle Schwarber,Mookie Betts,Josh Bell,Brandon Drury
1,2021,NL,Max Fried,Buster Posey,Freddie Freeman,Ozzie Albies,Austin Riley,Fernando Tatis Jr.,Bryce Harper,Nick Castellanos,Juan Soto,,
2,2020,NL,Marcell Ozuna,Travis d'Arnaud,Freddie Freeman,Donovan Solano,Manny Machado,Fernando Tatis Jr.,Ronald Acuna Jr.,Juan Soto,Mookie Betts,,
3,2019,NL,Zack Greinke,J.T. Realmuto,Freddie Freeman,Ozzie Albies,Anthony Rendon,Trevor Story,Ronald Acuna Jr.,Christian Yelich,Cody Bellinger,,
4,2018,NL,Germán Márquez,J.T. Realmuto,Paul Goldschmidt,Javier Báez,Nolan Arenado,Trevor Story,Christian Yelich,Nick Markakis,David Peralta,,
5,2017,NL,Adam Wainwright,Buster Posey,Paul Goldschmidt,Daniel Murphy,Nolan Arenado,Corey Seager,Marcell Ozuna,Giancarlo Stanton,Charlie Blackmon,,
6,2016,NL,Jake Arrieta,Wilson Ramos,Anthony Rizzo,Daniel Murphy,Nolan Arenado,Corey Seager,Christian Yelich,Yoenis Céspedes,Charlie Blackmon,,
7,2015,NL,Madison Bumgarner,Buster Posey,Paul Goldschmidt,Dee Strange-Gordon,Nolan Arenado,Brandon Crawford,Bryce Harper,Carlos González,Andrew McCutchen,,
8,2014,NL,Madison Bumgarner,Buster Posey,Adrián González,Neil Walker,Anthony Rendon,Ian Desmond,Justin Upton,Giancarlo Stanton,Andrew McCutchen,,
9,2013,NL,Zack Greinke,Yadier Molina,Paul Goldschmidt,Matt Carpenter,Pedro Álvarez,Ian Desmond,Jay Bruce,Michael Cuddyer,Andrew McCutchen,,
10,2012,NL,Stephen Strasburg,Buster Posey,Adam LaRoche,Aaron Hill,Chase Headley,Ian Desmond,Jay Bruce,Ryan Braun,Andrew McCutchen,,
11,2011,NL,Daniel Hudson,Brian McCann,Prince Fielder,Brandon Phillips,Aramis Ramirez,Troy Tulowitzki,Justin Upton,Matt Kemp,Ryan Braun,,
12,2010,NL,Yovani Gallardo,Brian McCann,Albert Pujols,Dan Uggla,Ryan Zimmerman,Troy Tulowitzki,Carlos González,Matt Holliday,Ryan Braun,,
13,2009,NL,Carlos Zambrano,Brian McCann,Albert Pujols,Chase Utley,Ryan Zimmerman,Hanley Ramirez,Andre Ethier,Matt Kemp,Ryan Braun,,
14,2008,NL,Carlos Zambrano,Brian McCann,Albert Pujols,Chase Utley,David Wright,Hanley Ramirez,Ryan Ludwick,Matt Holliday,Ryan Braun,,
15,2007,NL,Micah Owings,Russell Martin,Prince Fielder,Chase Utley,David Wright,Jimmy Rollins,Carlos Lee,Carlos Beltrán,Matt Holliday,,
16,2006,NL,Carlos Zambrano,Brian McCann,Ryan Howard,Chase Utley,Miguel Cabrera,José Reyes,Alfonso Soriano,Carlos Beltrán,Matt Holliday,,
17,2005,NL,Jason Marquis,Michael Barrett,Derrek Lee,Jeff Kent,Morgan Ensberg,Felipe Lopez,Carlos Lee,Miguel Cabrera,Andruw Jones,,
18,2004,NL,Liván Hernández,Johnny Estrada,Albert Pujols,Mark Loretta,Adrián Beltré,Jack Wilson,Barry Bonds,Bobby Abreu,Jim Edmonds,,
19,2003,NL,Mike Hampton,Javy Lopez,Todd Helton,Jose Vidro,Mike Lowell,Edgar Renteria,Barry Bonds,Gary Sheffield,Albert Pujols,,
20,2002,NL,Mike Hampton,Mike Piazza,Todd Helton,Jeff Kent,Scott Rolen,Edgar Renteria,Vladimir Guerrero,Barry Bonds,Sammy Sosa,,
21,2001,NL,Mike Hampton,Mike Piazza,Todd Helton,Jeff Kent,Albert Pujols,Rich Aurilia,Barry Bonds,Luis Gonzalez,Sammy Sosa,,
22,2000,NL,Mike Hampton,Mike Piazza,Todd Helton,Jeff Kent,Chipper Jones,Edgar Renteria,Vladimir Guerrero,Barry Bonds,Sammy Sosa,,
23,1999,NL,Mike Hampton,Mike Piazza,Jeff Bagwell,Edgardo Alfonzo,Chipper Jones,Barry Larkin,Vladimir Guerrero,Larry Walker,Sammy Sosa,,
24,1998,NL,Tom Glavine,Mike Piazza,Mark McGwire,Craig Biggio,Vinny Castilla,Barry Larkin,Greg Vaughn,Sammy Sosa,Moises Alou,,
25,1997,NL,John Smoltz,Mike Piazza,Jeff Bagwell,Craig Biggio,Vinny Castilla,Jeff Blauser,Barry Bonds,Larry Walker,Tony Gwynn,,
26,1996,NL,Tom Glavine,Mike Piazza,Andres Galarraga,Eric Young Sr.,Ken Caminiti,Barry Larkin,Barry Bonds,Gary Sheffield,Ellis Burks,,
27,1995,NL,Tom Glavine,Mike Piazza,Eric Karros,Craig Biggio,Vinny Castilla,Barry Larkin,Sammy Sosa,Tony Gwynn,Dante Bichette,,
28,1994,NL,Mark Portugal,Mike Piazza,Jeff Bagwell,Craig Biggio,Matt Williams,Wil Cordero,Barry Bonds,Tony Gwynn,Moises Alou,,
29,1993,NL,Orel Hershiser,Mike Piazza,Fred McGriff,Robby Thompson,Matt Williams,Jay Bell,Barry Bonds,David Justice,Lenny Dykstra,,
30,1992,NL,Dwight Gooden,Darren Daulton,Fred McGriff,Ryne Sandberg,Gary Sheffield,Barry Larkin,Barry Bonds,Andy Van Slyke,Larry Walker,,
31,1991,NL,Tom Glavine,Benito Santiago,Will Clark,Ryne Sandberg,Howard Johnson,Barry Larkin,Bobby Bonilla,Barry Bonds,Ron Gant,,
32,1990,NL,Don Robinson,Benito Santiago,Eddie Murray,Ryne Sandberg,Matt Williams,Barry Larkin,Bobby Bonilla,Barry Bonds,Darryl Strawberry,,
33,1989,NL,Don Robinson,Craig Biggio,Will Clark,Ryne Sandberg,Howard Johnson,Barry Larkin,Kevin Mitchell,Eric Davis,Tony Gwynn,,
34,1988,NL,Tim Leary,Benito Santiago,Andres Galarraga,Ryne Sandberg,Bobby Bonilla,Barry Larkin,Andy Van Slyke,Kirk Gibson,Darryl Strawberry,,
35,1987,NL,Bob Forsch,Benito Santiago,Jack Clark,Juan Samuel,Tim Wallach,Ozzie Smith,Andre Dawson,Eric Davis,Tony Gwynn,,
36,1986,NL,Rick Rhoden,Gary Carter,Glenn Davis,Steve Sax,Mike Schmidt,Hubie Brooks,Tim Raines,Tony Gwynn,Dave Parker,,
37,1985,NL,Rick Rhoden,Gary Carter,Jack Clark,Ryne Sandberg,Tim Wallach,Hubie Brooks,Willie McGee,Dale Murphy,Dave Parker,,
38,1984,NL,Rick Rhoden,Gary Carter,Keith Hernandez,Ryne Sandberg,Mike Schmidt,Garry Templeton,Jose Cruz,Tony Gwynn,Dale Murphy,,
39,1983,NL,Fernando Valenzuela,Terry Kennedy,George Hendrick,Johnny Ray,Mike Schmidt,Dickie Thon,Andre Dawson,Jose Cruz,Dale Murphy,,
40,1982,NL,Don Robinson,Gary Carter,Al Oliver,Joe Morgan,Mike Schmidt,Dave Concepcion,Leon Durham,Pedro Guerrero,Dale Murphy,,
41,1981,NL,Fernando Valenzuela,Gary Carter,Pete Rose,Manny Trillo,Mike Schmidt,Dave Concepcion,Andre Dawson,George Foster,Dusty Baker,,
42,1980,NL,Bob Forsch,Ted Simmons,Keith Hernandez,Manny Trillo,Mike Schmidt,Garry Templeton,Andre Dawson,George Hendrick,Dusty Baker,,
