,Lineup Spot,Player,Position,Year
2998,,Alan Trammell,SS,1980: Game 1
2999,,Robin Yount,SS,1980: Game 1
3000,,Rickey Henderson,LF,1980: Game 1
3001,,Ken Landreaux,LF,1980: Game 1
3002,,Al Oliver,LF,1980: Game 1
3003,,Jim Rice,LF,1980: Game 1
3004,,Al Bumbry,CF,1980: Game 1
3005,,Jorge Orta,RF,1980: Game 1
3006,,Tom Burgmeier,P,1980: Game 1
3007,,Ed Farmer,P,1980: Game 1
3008,,Rich Gossage,P,1980: Game 1
3009,,Larry Gura,P,1980: Game 1
3010,,Rick Honeycutt,P,1980: Game 1
3011,,Tommy John,P,1980: Game 1
3012,,Dave Stieb,P,1980: Game 1
3013,1,Davey Lopes,2B,1980: Game 1
3014,2,Reggie Smith,CF,1980: Game 1
3015,3,Dave Parker,RF,1980: Game 1
3016,4,Steve Garvey,1B,1980: Game 1
3017,5,Johnny Bench,C,1980: Game 1
3018,6,Dave Kingman,LF,1980: Game 1
3019,7,Ken Reitz,3B,1980: Game 1
3020,8,Bill Russell,SS,1980: Game 1
3021,9,J.R. Richard,P,1980: Game 1
3022,,Manager,,1980: Game 1
3023,,Chuck Tanner,,1980: Game 1
3024,,Reserves,,1980: Game 1
3025,,Gary Carter,C,1980: Game 1
3026,,John Stearns,C,1980: Game 1
3027,,Keith Hernandez,1B,1980: Game 1
3028,,Pete Rose,1B,1980: Game 1
3029,,Phil Garner,2B,1980: Game 1
3030,,Ray Knight,3B,1980: Game 1
3031,,Mike Schmidt,3B,1980: Game 1
3032,,Dave Concepcion,SS,1980: Game 1
3033,,Jose Cruz,LF,1980: Game 1
3034,,Dale Murphy,CF,1980: Game 1
3035,,Ken Griffey,RF,1980: Game 1
3036,,George Hendrick,RF,1980: Game 1
3037,,Dave Winfield,RF,1980: Game 1
3038,,Jim Bibby,P,1980: Game 1
3039,,Vida Blue,P,1980: Game 1
3040,,Steve Carlton,P,1980: Game 1
3041,,Jerry Reuss,P,1980: Game 1
3042,,Bruce Sutter,P,1980: Game 1
3043,,Kent Tekulve,P,1980: Game 1
3044,,Bob Welch,P,1980: Game 1
3045,,Ed Whitson,P,1980: Game 1
3046,1,Pete Rose,1B,1981: Game 1
3047,2,Dave Concepcion,SS,1981: Game 1
3048,3,Dave Parker,RF,1981: Game 1
3049,4,Mike Schmidt,3B,1981: Game 1
3050,5,George Foster,LF,1981: Game 1
3051,6,Andre Dawson,CF,1981: Game 1
3052,7,Gary Carter,C,1981: Game 1
3053,8,Davey Lopes,2B,1981: Game 1
3054,9,Fernando Valenzuela,P,1981: Game 1
3055,,Manager,,1981: Game 1
3056,,Dallas Green,,1981: Game 1
3057,,Reserves,,1981: Game 1
3058,,Bruce Benedict,C,1981: Game 1
3059,,Terry Kennedy,C,1981: Game 1
3060,,Bill Buckner,1B,1981: Game 1
3061,,Steve Garvey,1B,1981: Game 1
3062,,Phil Garner,2B,1981: Game 1
3063,,Manny Trillo,2B,1981: Game 1
3064,,Bill Madlock,3B,1981: Game 1
3065,,Ozzie Smith,SS,1981: Game 1
3066,,Dusty Baker,LF,1981: Game 1
3067,,Mike Easler,LF,1981: Game 1
3068,,Tim Raines,LF,1981: Game 1
3069,,Pedro Guerrero,RF,1981: Game 1
3070,,Joel Youngblood,RF,1981: Game 1
3071,,Vida Blue,P,1981: Game 1
3072,,Steve Carlton,P,1981: Game 1
3073,,Burt Hooton,P,1981: Game 1
3074,,Bob Knepper,P,1981: Game 1
3075,,Dick Ruthven,P,1981: Game 1
3076,,Nolan Ryan,P,1981: Game 1
3077,,Tom Seaver,P,1981: Game 1
3078,,Bruce Sutter,P,1981: Game 1
3079,1,Rod Carew,1B,1981: Game 1
3080,2,Willie Randolph,2B,1981: Game 1
3081,3,George Brett,3B,1981: Game 1
3082,4,Dave Winfield,CF,1981: Game 1
3083,5,Ken Singleton,LF,1981: Game 1
3084,6,Reggie Jackson,RF,1981: Game 1
3085,7,Carlton Fisk,C,1981: Game 1
3086,8,Bucky Dent,SS,1981: Game 1
3087,9,Jack Morris,P,1981: Game 1
3088,,Manager,,1981: Game 1
3089,,Jim Frey,,1981: Game 1
3090,,Reserves,,1981: Game 1
3091,,Bo Diaz,C,1981: Game 1
3092,,Ted Simmons,C,1981: Game 1
3093,,Eddie Murray,1B,1981: Game 1
3094,,Frank White,2B,1981: Game 1
3095,,Buddy Bell,3B,1981: Game 1
3096,,Rick Burleson,SS,1981: Game 1
3097,,Tom Paciorek,LF,1981: Game 1
3098,,Fred Lynn,CF,1981: Game 1
3099,,Tony Armas,RF,1981: Game 1
3100,,Dwight Evans,RF,1981: Game 1
3101,,Gorman Thomas,RF,1981: Game 1
3102,,Al Oliver,DH,1981: Game 1
3103,,Len Barker,P,1981: Game 1
3104,,Britt Burns,P,1981: Game 1
3105,,Doug Corbett,P,1981: Game 1
3106,,Ron Davis,P,1981: Game 1
3107,,Rollie Fingers,P,1981: Game 1
3108,,Ken Forsch,P,1981: Game 1
3109,,Rich Gossage,P,1981: Game 1
3110,,Scott McGregor,P,1981: Game 1
3111,,Mike Norris,P,1981: Game 1
3112,,Dave Stieb,P,1981: Game 1
3113,1,Rickey Henderson,LF,1982: Game 1
3114,2,Fred Lynn,CF,1982: Game 1
3115,3,George Brett,3B,1982: Game 1
3116,4,Reggie Jackson,RF,1982: Game 1
3117,5,Cecil Cooper,1B,1982: Game 1
3118,6,Robin Yount,SS,1982: Game 1
3119,7,Bobby Grich,2B,1982: Game 1
3120,8,Carlton Fisk,C,1982: Game 1
3121,9,Dennis Eckersley,P,1982: Game 1
3122,,Manager,,1982: Game 1
3123,,Billy Martin,,1982: Game 1
3124,,Reserves,,1982: Game 1
3125,,Lance Parrish,C,1982: Game 1
3126,,Rod Carew,1B,1982: Game 1
3127,,Kent Hrbek,1B,1982: Game 1
3128,,Eddie Murray,1B,1982: Game 1
3129,,Andre Thornton,1B,1982: Game 1
3130,,Carl Yastrzemski,1B,1982: Game 1
3131,,Frank White,2B,1982: Game 1
3132,,Buddy Bell,3B,1982: Game 1
3133,,Toby Harrah,3B,1982: Game 1
3134,,Hal McRae,LF,1982: Game 1
3135,,Ben Oglivie,LF,1982: Game 1
3136,,Willie Wilson,LF,1982: Game 1
3137,,Dave Winfield,LF,1982: Game 1
3138,,Floyd Bannister,P,1982: Game 1
3139,,Jim Clancy,P,1982: Game 1
3140,,Mark Clear,P,1982: Game 1
3141,,Rollie Fingers,P,1982: Game 1
3142,,Rich Gossage,P,1982: Game 1
3143,,Ron Guidry,P,1982: Game 1
3144,,Dan Quisenberry,P,1982: Game 1
3145,1,Tim Raines,LF,1982: Game 1
3146,2,Pete Rose,1B,1982: Game 1
3147,3,Andre Dawson,CF,1982: Game 1
3148,4,Mike Schmidt,3B,1982: Game 1
3149,5,Gary Carter,C,1982: Game 1
3150,6,Dale Murphy,RF,1982: Game 1
3151,7,Dave Concepcion,SS,1982: Game 1
3152,8,Manny Trillo,2B,1982: Game 1
3153,9,Steve Rogers,P,1982: Game 1
3154,,Manager,,1982: Game 1
3155,,Tommy Lasorda,,1982: Game 1
3156,,Reserves,,1982: Game 1
3157,,Tony Peña,C,1982: Game 1
3158,,John Stearns,C,1982: Game 1
3159,,Al Oliver,1B,1982: Game 1
3160,,Jason Thompson,1B,1982: Game 1
3161,,Steve Sax,2B,1982: Game 1
3162,,Bob Horner,3B,1982: Game 1
3163,,Ray Knight,3B,1982: Game 1
3164,,Ozzie Smith,SS,1982: Game 1
3165,,Dusty Baker,LF,1982: Game 1
3166,,Lonnie Smith,LF,1982: Game 1
3167,,Ruppert Jones,CF,1982: Game 1
3168,,Leon Durham,RF,1982: Game 1
3169,,Steve Carlton,P,1982: Game 1
3170,,Steve Howe,P,1982: Game 1
3171,,Tom Hume,P,1982: Game 1
3172,,Greg Minton,P,1982: Game 1
3173,,Phil Niekro,P,1982: Game 1
3174,,Mario Soto,P,1982: Game 1
3175,,Fernando Valenzuela,P,1982: Game 1
3176,1,Steve Sax,2B,1983: Game 1
3177,2,Tim Raines,LF,1983: Game 1
3178,3,Andre Dawson,CF,1983: Game 1
3179,4,Al Oliver,1B,1983: Game 1
3180,5,Dale Murphy,RF,1983: Game 1
3181,6,Mike Schmidt,3B,1983: Game 1
3182,7,Gary Carter,C,1983: Game 1
3183,8,Ozzie Smith,SS,1983: Game 1
3184,9,Mario Soto,P,1983: Game 1
3185,,Manager,,1983: Game 1
3186,,Whitey Herzog,,1983: Game 1
3187,,Reserves,,1983: Game 1
3188,,Bruce Benedict,C,1983: Game 1
3189,,Terry Kennedy,C,1983: Game 1
3190,,Darrell Evans,1B,1983: Game 1
3191,,Glenn Hubbard,2B,1983: Game 1
3192,,Johnny Bench,3B,1983: Game 1
3193,,Pedro Guerrero,3B,1983: Game 1
3194,,Bill Madlock,3B,1983: Game 1
3195,,Dickie Thon,SS,1983: Game 1
3196,,Leon Durham,CF,1983: Game 1
3197,,Willie McGee,CF,1983: Game 1
3198,,George Hendrick,RF,1983: Game 1
3199,,Bill Dawley,P,1983: Game 1
3200,,Dave Dravecky,P,1983: Game 1
3201,,Atlee Hammaker,P,1983: Game 1
3202,,Gary Lavelle,P,1983: Game 1
3203,,Jesse Orosco,P,1983: Game 1
3204,,Pascual Perez,P,1983: Game 1
3205,,Steve Rogers,P,1983: Game 1
3206,,Lee Smith,P,1983: Game 1
3207,,Fernando Valenzuela,P,1983: Game 1
3208,1,Rod Carew,1B,1983: Game 1
3209,2,Robin Yount,SS,1983: Game 1
3210,3,Fred Lynn,CF,1983: Game 1
3211,4,Jim Rice,LF,1983: Game 1
3212,5,George Brett,3B,1983: Game 1
3213,6,Ted Simmons,C,1983: Game 1
3214,7,Dave Winfield,RF,1983: Game 1
3215,8,Manny Trillo,2B,1983: Game 1
3216,9,Dave Stieb,P,1983: Game 1
3217,,Manager,,1983: Game 1
3218,,Harvey Kuenn,,1983: Game 1
3219,,Reserves,,1983: Game 1
3220,,Bob Boone,C,1983: Game 1
3221,,Lance Parrish,C,1983: Game 1
3222,,Cecil Cooper,1B,1983: Game 1
3223,,Eddie Murray,1B,1983: Game 1
3224,,Lou Whitaker,2B,1983: Game 1
3225,,Doug DeCinces,3B,1983: Game 1
3226,,Cal Ripken Jr.,SS,1983: Game 1
3227,,Rickey Henderson,LF,1983: Game 1
3228,,Ron Kittle,LF,1983: Game 1
3229,,Ben Oglivie,LF,1983: Game 1
3230,,Gary Ward,LF,1983: Game 1
3231,,Willie Wilson,LF,1983: Game 1
3232,,Reggie Jackson,RF,1983: Game 1
3233,,Carl Yastrzemski,DH,1983: Game 1
3234,,Ron Guidry,P,1983: Game 1
3235,,Rick Honeycutt,P,1983: Game 1
3236,,Aurelio Lopez,P,1983: Game 1
3237,,Tippy Martinez,P,1983: Game 1
3238,,Dan Quisenberry,P,1983: Game 1
3239,,Bob Stanley,P,1983: Game 1
3240,,Rick Sutcliffe,P,1983: Game 1
3241,,Matt Young,P,1983: Game 1
3242,1,Lou Whitaker,2B,1984: Game 1
3243,2,Rod Carew,1B,1984: Game 1
3244,3,Cal Ripken Jr.,SS,1984: Game 1
3245,4,Dave Winfield,LF,1984: Game 1
3246,5,Reggie Jackson,RF,1984: Game 1
3247,6,George Brett,3B,1984: Game 1
3248,7,Lance Parrish,C,1984: Game 1
3249,8,Chet Lemon,CF,1984: Game 1
3250,9,Dave Stieb,P,1984: Game 1
3251,,Manager,,1984: Game 1
3252,,Joe Altobelli,,1984: Game 1
3253,,Reserves,,1984: Game 1
3254,,Dave Engle,C,1984: Game 1
3255,,Jim Sundberg,C,1984: Game 1
3256,,Alvin Davis,1B,1984: Game 1
3257,,Don Mattingly,1B,1984: Game 1
3258,,Eddie Murray,1B,1984: Game 1
3259,,Andre Thornton,1B,1984: Game 1
3260,,Damaso Garcia,2B,1984: Game 1
3261,,Buddy Bell,3B,1984: Game 1
3262,,Alfredo Griffin,SS,1984: Game 1
3263,,Alan Trammell,SS,1984: Game 1
3264,,Rickey Henderson,LF,1984: Game 1
3265,,Jim Rice,LF,1984: Game 1
3266,,Tony Armas,CF,1984: Game 1
3267,,Mike Boddicker,P,1984: Game 1
3268,,Bill Caudill,P,1984: Game 1
3269,,Richard Dotson,P,1984: Game 1
3270,,Willie Hernandez,P,1984: Game 1
3271,,Jack Morris,P,1984: Game 1
3272,,Phil Niekro,P,1984: Game 1
3273,,Dan Quisenberry,P,1984: Game 1
3274,1,Tony Gwynn,LF,1984: Game 1
3275,2,Ryne Sandberg,2B,1984: Game 1
3276,3,Steve Garvey,1B,1984: Game 1
3277,4,Dale Murphy,CF,1984: Game 1
3278,5,Mike Schmidt,3B,1984: Game 1
3279,6,Darryl Strawberry,RF,1984: Game 1
3280,7,Gary Carter,C,1984: Game 1
3281,8,Ozzie Smith,SS,1984: Game 1
3282,9,Charlie Lea,P,1984: Game 1
3283,,Manager,,1984: Game 1
3284,,Paul Owens,,1984: Game 1
3285,,Reserves,,1984: Game 1
3286,,Bob Brenly,C,1984: Game 1
3287,,Jody Davis,C,1984: Game 1
3288,,Tony Peña,C,1984: Game 1
3289,,Keith Hernandez,1B,1984: Game 1
3290,,Juan Samuel,2B,1984: Game 1
3291,,Tim Wallach,3B,1984: Game 1
3292,,Rafael Ramirez,SS,1984: Game 1
3293,,Mike Marshall,LF,1984: Game 1
3294,,Chili Davis,CF,1984: Game 1
3295,,Jerry Mumphrey,CF,1984: Game 1
3296,,Tim Raines,CF,1984: Game 1
3297,,Claudell Washington,RF,1984: Game 1
3298,,Joaquin Andujar,P,1984: Game 1
3299,,Dwight Gooden,P,1984: Game 1
3300,,Rich Gossage,P,1984: Game 1
3301,,Al Holland,P,1984: Game 1
3302,,Jesse Orosco,P,1984: Game 1
3303,,Mario Soto,P,1984: Game 1
3304,,Bruce Sutter,P,1984: Game 1
3305,,Fernando Valenzuela,P,1984: Game 1
3306,1,Tony Gwynn,LF,1985: Game 1
3307,2,Tom Herr,2B,1985: Game 1
3308,3,Steve Garvey,1B,1985: Game 1
3309,4,Dale Murphy,CF,1985: Game 1
3310,5,Darryl Strawberry,RF,1985: Game 1
3311,6,Graig Nettles,3B,1985: Game 1
3312,7,Terry Kennedy,C,1985: Game 1
3313,8,Ozzie Smith,SS,1985: Game 1
3314,9,LaMarr Hoyt,P,1985: Game 1
3315,,Manager,,1985: Game 1
3316,,Dick Williams,,1985: Game 1
3317,,Reserves,,1985: Game 1
3318,,Gary Carter,C,1985: Game 1
3319,,Tony Peña,C,1985: Game 1
3320,,Ozzie Virgil,C,1985: Game 1
3321,,Jack Clark,1B,1985: Game 1
3322,,Pete Rose,1B,1985: Game 1
3323,,Ryne Sandberg,2B,1985: Game 1
3324,,Pedro Guerrero,3B,1985: Game 1
3325,,Tim Wallach,3B,1985: Game 1
3326,,Garry Templeton,SS,1985: Game 1
3327,,Jose Cruz,LF,1985: Game 1
3328,,Tim Raines,LF,1985: Game 1
3329,,Willie McGee,CF,1985: Game 1
3330,,Dave Parker,RF,1985: Game 1
3331,,Glenn Wilson,RF,1985: Game 1
3332,,Joaquin Andujar,P,1985: Game 1
3333,,Ron Darling,P,1985: Game 1
3334,,Scott Garrelts,P,1985: Game 1
3335,,Dwight Gooden,P,1985: Game 1
3336,,Rich Gossage,P,1985: Game 1
3337,,Jeff Reardon,P,1985: Game 1
3338,,Nolan Ryan,P,1985: Game 1
3339,,Fernando Valenzuela,P,1985: Game 1
3340,1,Rickey Henderson,CF,1985: Game 1
3341,2,Lou Whitaker,2B,1985: Game 1
3342,3,George Brett,3B,1985: Game 1
3343,4,Eddie Murray,1B,1985: Game 1
3344,5,Cal Ripken Jr.,SS,1985: Game 1
3345,6,Dave Winfield,RF,1985: Game 1
3346,7,Jim Rice,LF,1985: Game 1
3347,8,Carlton Fisk,C,1985: Game 1
3348,9,Jack Morris,P,1985: Game 1
3349,,Manager,,1985: Game 1
3350,,Sparky Anderson,,1985: Game 1
3351,,Reserves,,1985: Game 1
3352,,Rich Gedman,C,1985: Game 1
3353,,Lance Parrish,C,1985: Game 1
3354,,Ernie Whitt,C,1985: Game 1
3355,,Cecil Cooper,1B,1985: Game 1
3356,,Don Mattingly,1B,1985: Game 1
3357,,Damaso Garcia,2B,1985: Game 1
3358,,Wade Boggs,3B,1985: Game 1
3359,,Paul Molitor,3B,1985: Game 1
3360,,Alan Trammell,SS,1985: Game 1
3361,,Phil Bradley,LF,1985: Game 1
3362,,Gary Ward,LF,1985: Game 1
3363,,Harold Baines,RF,1985: Game 1
3364,,Tom Brunansky,RF,1985: Game 1
3365,,Bert Blyleven,P,1985: Game 1
3366,,Willie Hernandez,P,1985: Game 1
3367,,Jay Howell,P,1985: Game 1
3368,,Jimmy Key,P,1985: Game 1
3369,,Donnie Moore,P,1985: Game 1
3370,,Dan Petry,P,1985: Game 1
3371,,Dave Stieb,P,1985: Game 1
3372,1,Kirby Puckett,CF,1986: Game 1
3373,2,Rickey Henderson,LF,1986: Game 1
3374,3,Wade Boggs,3B,1986: Game 1
3375,4,Lance Parrish,C,1986: Game 1
3376,5,Wally Joyner,1B,1986: Game 1
3377,6,Cal Ripken Jr.,SS,1986: Game 1
3378,7,Dave Winfield,RF,1986: Game 1
3379,8,Lou Whitaker,2B,1986: Game 1
3380,9,Roger Clemens,P,1986: Game 1
3381,,Manager,,1986: Game 1
3382,,Dick Howser,,1986: Game 1
3383,,Reserves,,1986: Game 1
3384,,Rich Gedman,C,1986: Game 1
3385,,Don Mattingly,1B,1986: Game 1
3386,,Eddie Murray,1B,1986: Game 1
3387,,Frank White,2B,1986: Game 1
3388,,George Brett,3B,1986: Game 1
3389,,Brook Jacoby,3B,1986: Game 1
3390,,Jim Presley,3B,1986: Game 1
3391,,Tony Fernandez,SS,1986: Game 1
3392,,Jose Canseco,LF,1986: Game 1
3393,,Jim Rice,LF,1986: Game 1
3394,,Lloyd Moseby,CF,1986: Game 1
3395,,Harold Baines,RF,1986: Game 1
3396,,Jesse Barfield,RF,1986: Game 1
3397,,Don Aase,P,1986: Game 1
3398,,Willie Hernandez,P,1986: Game 1
3399,,Teddy Higuera,P,1986: Game 1
3400,,Charlie Hough,P,1986: Game 1
3401,,Dave Righetti,P,1986: Game 1
3402,,Ken Schrom,P,1986: Game 1
3403,,Mike Witt,P,1986: Game 1
3404,1,Tony Gwynn,LF,1986: Game 1
3405,2,Ryne Sandberg,2B,1986: Game 1
3406,3,Keith Hernandez,1B,1986: Game 1
3407,4,Gary Carter,C,1986: Game 1
3408,5,Darryl Strawberry,RF,1986: Game 1
3409,6,Mike Schmidt,3B,1986: Game 1
3410,7,Dale Murphy,CF,1986: Game 1
3411,8,Ozzie Smith,SS,1986: Game 1
3412,9,Dwight Gooden,P,1986: Game 1
3413,,Manager,,1986: Game 1
3414,,Whitey Herzog,,1986: Game 1
3415,,Reserves,,1986: Game 1
3416,,Jody Davis,C,1986: Game 1
3417,,Tony Peña,C,1986: Game 1
3418,,Glenn Davis,1B,1986: Game 1
3419,,Steve Sax,2B,1986: Game 1
3420,,Chris Brown,3B,1986: Game 1
3421,,Hubie Brooks,SS,1986: Game 1
3422,,Tim Raines,LF,1986: Game 1
3423,,Kevin Bass,RF,1986: Game 1
3424,,Chili Davis,RF,1986: Game 1
3425,,Dave Parker,RF,1986: Game 1
3426,,Sid Fernandez,P,1986: Game 1
3427,,John Franco,P,1986: Game 1
3428,,Mike Krukow,P,1986: Game 1
3429,,Shane Rawley,P,1986: Game 1
3430,,Jeff Reardon,P,1986: Game 1
3431,,Rick Rhoden,P,1986: Game 1
3432,,Mike Scott,P,1986: Game 1
3433,,Dave Smith,P,1986: Game 1
3434,,Fernando Valenzuela,P,1986: Game 1
3435,1,Eric Davis,LF,1987: Game 1
3436,2,Ryne Sandberg,2B,1987: Game 1
3437,3,Andre Dawson,CF,1987: Game 1
3438,4,Mike Schmidt,3B,1987: Game 1
3439,5,Jack Clark,1B,1987: Game 1
3440,6,Darryl Strawberry,RF,1987: Game 1
3441,7,Gary Carter,C,1987: Game 1
3442,8,Ozzie Smith,SS,1987: Game 1
3443,9,Mike Scott,P,1987: Game 1
3444,,Manager,,1987: Game 1
3445,,Davey Johnson,,1987: Game 1
3446,,Reserves,,1987: Game 1
3447,,Bo Diaz,C,1987: Game 1
3448,,Ozzie Virgil,C,1987: Game 1
3449,,Keith Hernandez,1B,1987: Game 1
3450,,Juan Samuel,2B,1987: Game 1
3451,,Tim Wallach,3B,1987: Game 1
3452,,Hubie Brooks,SS,1987: Game 1
3453,,Pedro Guerrero,LF,1987: Game 1
3454,,Jeffrey Leonard,LF,1987: Game 1
3455,,Tim Raines,LF,1987: Game 1
3456,,Willie McGee,CF,1987: Game 1
3457,,Tony Gwynn,RF,1987: Game 1
3458,,Dale Murphy,RF,1987: Game 1
3459,,Steve Bedrosian,P,1987: Game 1
3460,,Sid Fernandez,P,1987: Game 1
3461,,John Franco,P,1987: Game 1
3462,,Orel Hershiser,P,1987: Game 1
3463,,Rick Reuschel,P,1987: Game 1
3464,,Lee Smith,P,1987: Game 1
3465,,Rick Sutcliffe,P,1987: Game 1
3466,1,Rickey Henderson,CF,1987: Game 1
3467,2,Don Mattingly,1B,1987: Game 1
3468,3,Wade Boggs,3B,1987: Game 1
3469,4,George Bell,LF,1987: Game 1
3470,5,Dave Winfield,RF,1987: Game 1
3471,6,Cal Ripken Jr.,SS,1987: Game 1
3472,7,Terry Kennedy,C,1987: Game 1
3473,8,Willie Randolph,2B,1987: Game 1
3474,9,Bret Saberhagen,P,1987: Game 1
3475,,Manager,,1987: Game 1
3476,,John McNamara,,1987: Game 1
3477,,Reserves,,1987: Game 1
3478,,Matt Nokes,C,1987: Game 1
3479,,George Brett,1B,1987: Game 1
3480,,Mark McGwire,1B,1987: Game 1
3481,,Pat Tabler,1B,1987: Game 1
3482,,Harold Reynolds,2B,1987: Game 1
3483,,Lou Whitaker,2B,1987: Game 1
3484,,Larry Parrish,3B,1987: Game 1
3485,,Kevin Seitzer,3B,1987: Game 1
3486,,Tony Fernandez,SS,1987: Game 1
3487,,Alan Trammell,SS,1987: Game 1
3488,,Kirby Puckett,CF,1987: Game 1
3489,,Harold Baines,RF,1987: Game 1
3490,,Dwight Evans,RF,1987: Game 1
3491,,Tom Henke,P,1987: Game 1
3492,,Jay Howell,P,1987: Game 1
3493,,Bruce Hurst,P,1987: Game 1
3494,,Mark Langston,P,1987: Game 1
3495,,Jack Morris,P,1987: Game 1
3496,,Dan Plesac,P,1987: Game 1
3497,,Dave Righetti,P,1987: Game 1
3498,,Mike Witt,P,1987: Game 1
3499,1,Rickey Henderson,CF,1988: Game 1
3500,2,Paul Molitor,2B,1988: Game 1
3501,3,Wade Boggs,3B,1988: Game 1
3502,4,Jose Canseco,LF,1988: Game 1
3503,5,Dave Winfield,RF,1988: Game 1
3504,6,Cal Ripken Jr.,SS,1988: Game 1
3505,7,Mark McGwire,1B,1988: Game 1
3506,8,Terry Steinbach,C,1988: Game 1
3507,9,Frank Viola,P,1988: Game 1
3508,,Manager,,1988: Game 1
3509,,Tom Kelly,,1988: Game 1
3510,,Reserves,,1988: Game 1
3511,,Tim Laudner,C,1988: Game 1
3512,,George Brett,1B,1988: Game 1
3513,,Don Mattingly,1B,1988: Game 1
3514,,Harold Reynolds,2B,1988: Game 1
3515,,Gary Gaetti,3B,1988: Game 1
3516,,Carney Lansford,3B,1988: Game 1
3517,,Ozzie Guillen,SS,1988: Game 1
3518,,Kurt Stillwell,SS,1988: Game 1
3519,,Alan Trammell,SS,1988: Game 1
3520,,Mike Greenwell,LF,1988: Game 1
3521,,Johnny Ray,LF,1988: Game 1
3522,,Kirby Puckett,CF,1988: Game 1
3523,,Doyle Alexander,P,1988: Game 1
3524,,Roger Clemens,P,1988: Game 1
3525,,Dennis Eckersley,P,1988: Game 1
3526,,Mark Gubicza,P,1988: Game 1
3527,,Doug Jones,P,1988: Game 1
3528,,Dan Plesac,P,1988: Game 1
3529,,Jeff Reardon,P,1988: Game 1
3530,,Jeff Russell,P,1988: Game 1
3531,,Dave Stieb,P,1988: Game 1
3532,1,Vince Coleman,LF,1988: Game 1
3533,2,Ryne Sandberg,2B,1988: Game 1
3534,3,Andre Dawson,CF,1988: Game 1
3535,4,Darryl Strawberry,RF,1988: Game 1
3536,5,Bobby Bonilla,3B,1988: Game 1
3537,6,Will Clark,1B,1988: Game 1
3538,7,Gary Carter,C,1988: Game 1
3539,8,Ozzie Smith,SS,1988: Game 1
3540,9,Dwight Gooden,P,1988: Game 1
3541,,Manager,,1988: Game 1
3542,,Whitey Herzog,,1988: Game 1
3543,,Reserves,,1988: Game 1
3544,,Lance Parrish,C,1988: Game 1
3545,,Andres Galarraga,1B,1988: Game 1
3546,,Gerald Perry,1B,1988: Game 1
3547,,Robby Thompson,2B,1988: Game 1
3548,,Vance Law,3B,1988: Game 1
3549,,Chris Sabo,3B,1988: Game 1
3550,,Shawon Dunston,SS,1988: Game 1
3551,,Barry Larkin,SS,1988: Game 1
3552,,Rafael Palmeiro,LF,1988: Game 1
3553,,Willie McGee,CF,1988: Game 1
3554,,Andy Van Slyke,CF,1988: Game 1
3555,,David Cone,P,1988: Game 1
3556,,Mark Davis,P,1988: Game 1
3557,,Kevin Gross,P,1988: Game 1
3558,,Orel Hershiser,P,1988: Game 1
3559,,Danny Jackson,P,1988: Game 1
3560,,Bob Knepper,P,1988: Game 1
3561,,Greg Maddux,P,1988: Game 1
3562,,Bob Walk,P,1988: Game 1
3563,,Todd Worrell,P,1988: Game 1
3564,1,Ozzie Smith,SS,1989: Game 1
3565,2,Tony Gwynn,RF,1989: Game 1
3566,3,Will Clark,1B,1989: Game 1
3567,4,Kevin Mitchell,LF,1989: Game 1
3568,5,Eric Davis,CF,1989: Game 1
3569,6,Howard Johnson,3B,1989: Game 1
3570,7,Pedro Guerrero,DH,1989: Game 1
3571,8,Ryne Sandberg,2B,1989: Game 1
3572,9,Benito Santiago,C,1989: Game 1
3573,,Rick Reuschel,P,1989: Game 1
3574,,Manager,,1989: Game 1
3575,,Tommy Lasorda,,1989: Game 1
3576,,Reserves,,1989: Game 1
3577,,Tony Peña,C,1989: Game 1
3578,,Mike Scioscia,C,1989: Game 1
3579,,Glenn Davis,1B,1989: Game 1
3580,,Willie Randolph,2B,1989: Game 1
3581,,Bobby Bonilla,3B,1989: Game 1
3582,,Mike Schmidt,3B,1989: Game 1
3583,,Tim Wallach,3B,1989: Game 1
3584,,Barry Larkin,SS,1989: Game 1
3585,,Vince Coleman,LF,1989: Game 1
3586,,Andre Dawson,RF,1989: Game 1
3587,,Von Hayes,RF,1989: Game 1
3588,,Darryl Strawberry,RF,1989: Game 1
3589,,Tim Burke,P,1989: Game 1
3590,,Mark Davis,P,1989: Game 1
3591,,John Franco,P,1989: Game 1
3592,,Orel Hershiser,P,1989: Game 1
3593,,Jay Howell,P,1989: Game 1
3594,,Mike Scott,P,1989: Game 1
3595,,John Smoltz,P,1989: Game 1
3596,,Rick Sutcliffe,P,1989: Game 1
3597,,Mitch Williams,P,1989: Game 1
3598,1,Bo Jackson,LF,1989: Game 1
3599,2,Wade Boggs,3B,1989: Game 1
3600,3,Kirby Puckett,CF,1989: Game 1
3601,4,Harold Baines,DH,1989: Game 1
3602,5,Julio Franco,2B,1989: Game 1
3603,6,Cal Ripken Jr.,SS,1989: Game 1
3604,7,Ruben Sierra,RF,1989: Game 1
3605,8,Mark McGwire,1B,1989: Game 1
3606,9,Terry Steinbach,C,1989: Game 1
3607,,Dave Stewart,P,1989: Game 1
3608,,Manager,,1989: Game 1
3609,,Tony La Russa,,1989: Game 1
3610,,Reserves,,1989: Game 1
3611,,Mickey Tettleton,C,1989: Game 1
3612,,Don Mattingly,1B,1989: Game 1
3613,,Steve Sax,2B,1989: Game 1
