,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Jonathon Simmons,ORL,22:56,3,9,.333,0,2,.000,3,3,1.000,0,3,3,2,1,0,0,2,9,-5,11/18/2018
Terrence Ross,ORL,22:43,4,13,.308,2,7,.286,0,0,,0,4,4,1,0,1,1,1,10,-9,11/18/2018
Mo Bamba,ORL,16:23,2,6,.333,0,2,.000,0,0,,1,1,2,2,0,1,1,3,4,0,11/18/2018
Isaiah Briscoe,ORL,16:20,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,3,0,-2,11/18/2018
Jerian Grant,ORL,4:01,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,3,0,-1,11/18/2018
Khem Birch,ORL,Did Not Play,,,,,,,,,,,,,,,,,,,,11/18/2018
Jarell Martin,ORL,Did Not Play,,,,,,,,,,,,,,,,,,,,11/18/2018
Team Totals,ORL,240,48,84,.571,13,32,.406,22,26,.846,7,28,35,35,5,6,15,26,131,,11/18/2018
Josh Richardson,MIA,39:10,4,16,.250,2,6,.333,6,6,1.000,1,2,3,4,0,0,4,2,16,-13,12/2/2018
Wayne Ellington,MIA,37:12,4,13,.308,4,9,.444,0,0,,2,5,7,1,1,0,0,4,12,-2,12/2/2018
Hassan Whiteside,MIA,34:02,11,17,.647,0,0,,1,6,.167,7,13,20,2,1,3,1,4,23,-8,12/2/2018
James Johnson,MIA,18:46,4,10,.400,1,2,.500,0,0,,1,1,2,2,1,1,2,2,9,-16,12/2/2018
Rodney McGruder,MIA,5:07,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-14,12/2/2018
Justise Winslow,MIA,32:05,4,9,.444,1,2,.500,0,0,,0,5,5,1,2,1,4,3,9,+14,12/2/2018
Dwyane Wade,MIA,30:26,4,15,.267,2,6,.333,5,5,1.000,0,3,3,8,1,1,1,0,15,+21,12/2/2018
Kelly Olynyk,MIA,29:10,4,8,.500,3,6,.500,5,7,.714,2,6,8,1,1,1,1,0,16,+18,12/2/2018
Bam Adebayo,MIA,14:01,1,2,.500,0,0,,0,0,,1,1,2,1,1,1,0,1,2,+10,12/2/2018
Udonis Haslem,MIA,Did Not Play,,,,,,,,,,,,,,,,,,,,12/2/2018
Tyler Johnson,MIA,Did Not Dress,,,,,,,,,,,,,,,,,,,,12/2/2018
Derrick Jones Jr.,MIA,Did Not Dress,,,,,,,,,,,,,,,,,,,,12/2/2018
Team Totals,MIA,240,36,91,.396,13,31,.419,17,24,.708,14,36,50,20,8,8,13,16,102,,12/2/2018
Trae Young,ATL,39:36,12,22,.545,3,10,.300,3,3,1.000,2,0,2,12,5,0,5,0,30,-6,11/8/2019
Jabari Parker,ATL,32:17,11,18,.611,1,5,.200,2,2,1.000,4,4,8,2,1,1,0,2,25,-5,11/8/2019
De'Andre Hunter,ATL,22:12,2,7,.286,0,2,.000,0,0,,0,2,2,2,0,0,1,1,4,-9,11/8/2019
Cam Reddish,ATL,21:44,3,8,.375,1,2,.500,0,0,,0,1,1,1,1,1,1,2,7,-16,11/8/2019
Alex Len,ATL,21:43,2,4,.500,0,0,,0,2,.000,1,6,7,0,0,3,0,2,4,-11,11/8/2019
Kevin Huerter,ATL,29:53,6,10,.600,4,7,.571,1,1,1.000,1,2,3,4,0,0,0,1,17,-1,11/8/2019
DeAndre' Bembry,ATL,24:52,2,6,.333,0,1,.000,1,2,.500,1,2,3,2,1,0,1,4,5,-3,11/8/2019
Vince Carter,ATL,16:12,2,2,1.000,0,0,,1,2,.500,1,2,3,0,0,1,0,4,5,-1,11/8/2019
Damian Jones,ATL,14:41,4,6,.667,0,1,.000,0,2,.000,1,0,1,0,0,0,2,2,8,-10,11/8/2019
Bruno Fernando,ATL,9:40,1,2,.500,0,0,,0,0,,0,3,3,0,0,0,2,1,2,+8,11/8/2019
Tyrone Wallace,ATL,7:10,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-6,11/8/2019
John Collins,ATL,Did Not Play,,,,,,,,,,,,,,,,,,,,11/8/2019
Team Totals,ATL,240,46,87,.529,9,28,.321,8,14,.571,11,23,34,23,8,6,12,19,109,,11/8/2019
Harrison Barnes,SAC,38:47,5,8,.625,4,6,.667,9,10,.900,1,7,8,3,1,0,3,4,23,+13,11/3/2021
De'Aaron Fox,SAC,37:49,8,14,.571,2,3,.667,1,2,.500,0,2,2,5,1,0,1,2,19,+10,11/3/2021
Tyrese Haliburton,SAC,36:36,6,11,.545,1,3,.333,7,8,.875,0,4,4,7,4,2,0,1,20,+7,11/3/2021
Maurice Harkless,SAC,32:25,1,4,.250,1,4,.250,0,0,,0,5,5,1,1,1,1,2,3,-1,11/3/2021
Richaun Holmes,SAC,16:23,6,9,.667,0,1,.000,0,0,,1,5,6,1,0,0,1,4,12,-9,11/3/2021
Davion Mitchell,SAC,26:04,6,12,.500,0,2,.000,0,0,,0,2,2,8,0,0,0,2,12,+12,11/3/2021
Buddy Hield,SAC,22:57,4,13,.308,2,10,.200,1,2,.500,2,3,5,0,1,0,0,0,11,+12,11/3/2021
Alex Len,SAC,20:39,6,9,.667,0,1,.000,0,0,,0,5,5,2,0,3,2,5,12,+16,11/3/2021
Tristan Thompson,SAC,8:19,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,+5,11/3/2021
Marvin Bagley III,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/3/2021
Terence Davis,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/3/2021
Damian Jones,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/3/2021
Chimezie Metu,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/3/2021
