Date,Home,Visitor,Sport
1/21/2023,Sacramento Kings,Philadelphia 76ers,NBA
2/7/23,Los Angeles Lakers,Oklahoma City Thunder,NBA
3/13/2023,Sacramento Kings,Milwaukee Bucks,NBA
3/16/2023,Missouri Tigers,Utah State Aggies,NCAA BB
3/16/2023,Arizona Wildcats,Princeton Tigers,NCAA BB
3/16/2023,Northwestern Wildcats,Boise State Broncos,NCAA BB
3/16/2023,UCLA Bruins,UNC Asheville Bulldogs,NCAA BB
3/18/2023,Missouri Tigers,Princeton Tigers,NCAA BB
3/18/2023,UCLA Bruins,Northwestern Wildcats,NCAA BB
3/25/2023,Sacramento Kings,Utah Jazz,NBA
3/30/2023,Oakland Athletics,Los Angeles Angels,MLB
4/5/2023,Sacramento River Cats,El Paso Chihuahuas,MilB
4/21/2023,Sacramento River Cats,Round Rock Express,MilB
6/17/2023,Seattle Mariners,Chicago White Sox,MLB
7/3/2023,Los Angeles Lakers,Miami Heat,NBA Summer League
7/3/2023,Charlotte Hornets,San Antonio Spurs,NBA Summer League
7/3/2023,Sacramento Kings,Golden State Warriors,NBA Summer League
7/15/2023,Chicago Cubs,Boston Red Sox,MLB
7/21/2023,Sacramento River Cats,Tacoma Rainiers,MiLB
8/3/2023,Sacramento River Cats,Reno Aces,MiLB
8/15/2023,Sacramento River Cats,Tacoma Rainiers,MiLB
8/29/2023,Sacramento River Cats,Albuquerque Isotopes,MiLB
9/3/2023,San Diego Padres,San Francisco Giants,MLB
9/12/2023,Sacramento River Cats,Sugar Land Space Cowboys,MiLB
9/30/2023,Fresno State Bulldogs,Nevada Wolf Pack,NCAAF
10/19/2023,Sacramento Kings,Utah Jazz,NBA Preseason
10/21/2023,Stanford Cardinal,UCLA Bruins,NCAAF
11/10/2023,Sacramento Kings,Oklahoma City Thunder,NBA
12/16/2023,UCLA Bruins,Boise State Broncos,NCAAF
12/22/2023,Sacramento Kings,Phoenix Suns,NBA
2/17/2024,Chicago Blackhawks,Ottawa Senators,NHL
