,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,Games,GS
86,Hassan Whiteside,MIA,34:02,11.0,17.0,0.647,0.0,0.0,0.0,1.0,6.0,0.167,7.0,13.0,20.0,2.0,1.0,3.0,1.0,4.0,23.0,-8.0,12/2/2018,1,24.199999999999996
87,James Johnson,MIA,18:46,4.0,10.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,9.0,-16.0,12/2/2018,1,4.9
88,Rodney McGruder,MIA,5:07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,12/2/2018,1,-0.7
89,Justise Winslow,MIA,32:05,4.0,9.0,0.444,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,1.0,4.0,3.0,9.0,14.0,12/2/2018,1,3.999999999999999
90,Dwyane Wade,MIA,30:26,4.0,15.0,0.267,2.0,6.0,0.333,5.0,5.0,1.0,0.0,3.0,3.0,8.0,1.0,1.0,1.0,0.0,15.0,21.0,12/2/2018,1,13.3
91,Kelly Olynyk,MIA,29:10,4.0,8.0,0.5,3.0,6.0,0.5,5.0,7.0,0.714,2.0,6.0,8.0,1.0,1.0,1.0,1.0,0.0,16.0,18.0,12/2/2018,1,15.8
92,Bam Adebayo,MIA,14:01,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,10.0,12/2/2018,1,4.0
97,Trae Young,ATL,39:36,12.0,22.0,0.545,3.0,10.0,0.3,3.0,3.0,1.0,2.0,0.0,2.0,12.0,5.0,0.0,5.0,0.0,30.0,-6.0,11/8/2019,1,29.199999999999996
98,Jabari Parker,ATL,32:17,11.0,18.0,0.611,1.0,5.0,0.2,2.0,2.0,1.0,4.0,4.0,8.0,2.0,1.0,1.0,0.0,2.0,25.0,-5.0,11/8/2019,1,23.099999999999994
99,De'Andre Hunter,ATL,22:12,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,-9.0,11/8/2019,1,0.5000000000000004
100,Cam Reddish,ATL,21:44,3.0,8.0,0.375,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,-16.0,11/8/2019,1,3.5
101,Alex Len,ATL,21:43,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,7.0,0.0,0.0,3.0,0.0,2.0,4.0,-11.0,11/8/2019,1,4.999999999999999
102,Kevin Huerter,ATL,29:53,6.0,10.0,0.6,4.0,7.0,0.571,1.0,1.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,17.0,-1.0,11/8/2019,1,16.099999999999998
103,DeAndre' Bembry,ATL,24:52,2.0,6.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,2.0,1.0,0.0,1.0,4.0,5.0,-3.0,11/8/2019,1,2.3000000000000003
104,Vince Carter,ATL,16:12,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,1.0,0.0,4.0,5.0,-1.0,11/8/2019,1,4.4
105,Damian Jones,ATL,14:41,4.0,6.0,0.667,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,8.0,-10.0,11/8/2019,1,2.500000000000001
106,Bruno Fernando,ATL,9:40,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,8.0,11/8/2019,1,-0.5
107,Tyrone Wallace,ATL,7:10,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,11/8/2019,1,1.3
110,Harrison Barnes,SAC,38:47,5.0,8.0,0.625,4.0,6.0,0.667,9.0,10.0,0.9,1.0,7.0,8.0,3.0,1.0,0.0,3.0,4.0,23.0,13.0,11/3/2021,1,20.299999999999997
111,De'Aaron Fox,SAC,37:49,8.0,14.0,0.571,2.0,3.0,0.667,1.0,2.0,0.5,0.0,2.0,2.0,5.0,1.0,0.0,1.0,2.0,19.0,10.0,11/3/2021,1,15.3
112,Tyrese Haliburton,SAC,36:36,6.0,11.0,0.545,1.0,3.0,0.333,7.0,8.0,0.875,0.0,4.0,4.0,7.0,4.0,2.0,0.0,1.0,20.0,7.0,11/3/2021,1,25.4
113,Maurice Harkless,SAC,32:25,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,-1.0,11/3/2021,1,2.7
114,Richaun Holmes,SAC,16:23,6.0,9.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,4.0,12.0,-9.0,11/3/2021,1,8.4
115,Davion Mitchell,SAC,26:04,6.0,12.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,2.0,12.0,12.0,11/3/2021,1,11.4
116,Buddy Hield,SAC,22:57,4.0,13.0,0.308,2.0,10.0,0.2,1.0,2.0,0.5,2.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,11.0,12.0,11/3/2021,1,6.4
117,Alex Len,SAC,20:39,6.0,9.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,3.0,2.0,5.0,12.0,16.0,11/3/2021,1,9.100000000000001
118,Tristan Thompson,SAC,8:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,11/3/2021,1,0.29999999999999993
125,Harrison Barnes,SAC,37:46,6.0,15.0,0.4,1.0,6.0,0.167,9.0,11.0,0.818,0.0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,22.0,-14.0,11/7/2021,1,19.799999999999997
126,De'Aaron Fox,SAC,34:46,7.0,19.0,0.368,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,2.0,3.0,0.0,3.0,3.0,17.0,-14.0,11/7/2021,1,7.600000000000001
127,Tyrese Haliburton,SAC,33:40,7.0,14.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,17.0,-6.0,11/7/2021,1,12.000000000000002
128,Richaun Holmes,SAC,27:34,2.0,4.0,0.5,0.0,0.0,0.0,7.0,7.0,1.0,1.0,8.0,9.0,0.0,0.0,1.0,2.0,3.0,11.0,-6.0,11/7/2021,1,9.599999999999998
129,Maurice Harkless,SAC,20:45,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,5.0,11/7/2021,1,-0.7
130,Buddy Hield,SAC,31:53,6.0,16.0,0.375,5.0,12.0,0.417,0.0,0.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,17.0,9.0,11/7/2021,1,12.099999999999998
131,Davion Mitchell,SAC,28:21,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,6.0,11/7/2021,1,3.3
132,Alex Len,SAC,20:14,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,3.0,0.0,3.0,1.0,2.0,5.0,2.0,11/7/2021,1,7.599999999999998
133,Terence Davis,SAC,5:01,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,11/7/2021,1,-1.7999999999999998
140,De'Aaron Fox,SAC,26:54,8.0,13.0,0.615,0.0,1.0,0.0,1.0,3.0,0.333,0.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,17.0,-22.0,11/19/2021,1,12.299999999999999
141,Harrison Barnes,SAC,25:53,3.0,9.0,0.333,0.0,2.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,4.0,14.0,-15.0,11/19/2021,1,6.699999999999999
142,Chimezie Metu,SAC,25:02,4.0,11.0,0.364,2.0,5.0,0.4,0.0,0.0,0.0,1.0,8.0,9.0,0.0,1.0,1.0,2.0,0.0,10.0,-15.0,11/19/2021,1,6.699999999999999
143,Tyrese Haliburton,SAC,24:47,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,1.0,1.0,2.0,8.0,-14.0,11/19/2021,1,9.199999999999998
144,Richaun Holmes,SAC,22:11,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,6.0,-11.0,11/19/2021,1,4.1
145,Davion Mitchell,SAC,25:42,2.0,10.0,0.2,1.0,5.0,0.2,0.0,2.0,0.0,2.0,3.0,5.0,4.0,0.0,0.0,1.0,3.0,5.0,-13.0,11/19/2021,1,0.8999999999999995
146,Buddy Hield,SAC,25:18,3.0,13.0,0.231,3.0,12.0,0.25,1.0,2.0,0.5,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,10.0,-12.0,11/19/2021,1,1.9999999999999991
147,Marvin Bagley III,SAC,16:37,1.0,4.0,0.25,0.0,2.0,0.0,2.0,5.0,0.4,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,11/19/2021,1,2.900000000000001
148,Damian Jones,SAC,16:21,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,4.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,11/19/2021,1,8.299999999999999
149,Terence Davis,SAC,15:27,4.0,7.0,0.571,1.0,4.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,9.0,7.0,11/19/2021,1,4.3
150,Tristan Thompson,SAC,9:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-15.0,11/19/2021,1,0.19999999999999996
151,Jahmi'us Ramsey,SAC,3:10,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,11/19/2021,1,-0.7
152,Robert Woodard II,SAC,3:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11/19/2021,1,0.0
156,Tyrese Haliburton,SAC,37:00,7.0,13.0,0.538,2.0,5.0,0.4,1.0,2.0,0.5,1.0,1.0,2.0,2.0,4.0,0.0,2.0,4.0,17.0,-17.0,11/20/2021,1,13.1
157,Harrison Barnes,SAC,35:25,7.0,13.0,0.538,1.0,3.0,0.333,3.0,6.0,0.5,1.0,7.0,8.0,5.0,1.0,1.0,2.0,1.0,18.0,-5.0,11/20/2021,1,16.099999999999998
158,De'Aaron Fox,SAC,32:53,5.0,17.0,0.294,1.0,3.0,0.333,2.0,3.0,0.667,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,13.0,-7.0,11/20/2021,1,4.800000000000002
159,Richaun Holmes,SAC,31:08,9.0,10.0,0.9,0.0,0.0,0.0,4.0,5.0,0.8,4.0,3.0,7.0,0.0,0.0,1.0,0.0,4.0,22.0,-7.0,11/20/2021,1,21.0
160,Chimezie Metu,SAC,22:35,3.0,10.0,0.3,1.0,5.0,0.2,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,3.0,7.0,-11.0,11/20/2021,1,3.999999999999999
161,Buddy Hield,SAC,30:15,6.0,13.0,0.462,3.0,8.0,0.375,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,16.0,-16.0,11/20/2021,1,9.899999999999999
162,Maurice Harkless,SAC,19:03,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,-9.0,11/20/2021,1,3.5
163,Davion Mitchell,SAC,16:04,2.0,8.0,0.25,1.0,4.0,0.25,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,6.0,-11.0,11/20/2021,1,2.2
164,Alex Len,SAC,12:04,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,1.0,0.0,0.0,5.0,-9.0,11/20/2021,1,5.500000000000001
165,Damian Jones,SAC,1:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11/20/2021,1,0.0
166,Jahmi'us Ramsey,SAC,1:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11/20/2021,1,0.0
172,Harrison Barnes,SAC,40:01,4.0,11.0,0.364,1.0,3.0,0.333,5.0,6.0,0.833,1.0,6.0,7.0,3.0,0.0,0.0,0.0,0.0,14.0,8.0,12/19/2021,1,12.1
173,Buddy Hield,SAC,39:31,10.0,18.0,0.556,7.0,9.0,0.778,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,2.0,29.0,-1.0,12/19/2021,1,23.7
174,Tyrese Haliburton,SAC,37:10,12.0,19.0,0.632,3.0,5.0,0.6,0.0,0.0,0.0,1.0,3.0,4.0,11.0,2.0,0.0,3.0,5.0,27.0,4.0,12/19/2021,1,24.799999999999997
175,Chimezie Metu,SAC,31:28,2.0,8.0,0.25,0.0,3.0,0.0,5.0,6.0,0.833,1.0,5.0,6.0,1.0,4.0,0.0,1.0,2.0,9.0,0.0,12/19/2021,1,8.899999999999999
176,Tristan Thompson,SAC,28:31,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,1.0,3.0,3.0,8.0,6.0,12/19/2021,1,3.3999999999999995
177,Maurice Harkless,SAC,32:24,2.0,3.0,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,3.0,4.0,15.0,12/19/2021,1,4.4
178,Damian Jones,SAC,19:29,9.0,15.0,0.6,2.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,8.0,1.0,0.0,2.0,1.0,1.0,23.0,1.0,12/19/2021,1,20.8
179,Jahmi'us Ramsey,SAC,8:34,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,7.0,5.0,12/19/2021,1,5.6
180,Justin Robinson,SAC,2:52,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,12/19/2021,1,-2.1999999999999997
184,Harrison Barnes,SAC,37:40,5.0,9.0,0.556,2.0,5.0,0.4,4.0,4.0,1.0,0.0,9.0,9.0,6.0,0.0,0.0,3.0,4.0,16.0,6.0,1/14/2022,1,13.999999999999996
185,De'Aaron Fox,SAC,34:27,11.0,18.0,0.611,2.0,4.0,0.5,3.0,6.0,0.5,0.0,6.0,6.0,8.0,2.0,0.0,4.0,2.0,27.0,10.0,1/14/2022,1,22.2
186,Marvin Bagley III,SAC,32:51,12.0,20.0,0.6,0.0,2.0,0.0,2.0,2.0,1.0,4.0,9.0,13.0,1.0,0.0,2.0,1.0,1.0,26.0,8.0,1/14/2022,1,23.0
187,Tyrese Haliburton,SAC,31:25,3.0,8.0,0.375,1.0,6.0,0.167,2.0,2.0,1.0,1.0,5.0,6.0,12.0,0.0,0.0,1.0,2.0,9.0,-3.0,1/14/2022,1,13.399999999999999
188,Chimezie Metu,SAC,13:09,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,7.0,7.0,1/14/2022,1,3.799999999999999
189,Buddy Hield,SAC,32:06,5.0,13.0,0.385,4.0,10.0,0.4,5.0,6.0,0.833,1.0,5.0,6.0,1.0,1.0,0.0,0.0,2.0,19.0,12.0,1/14/2022,1,14.599999999999998
190,Davion Mitchell,SAC,24:17,2.0,11.0,0.182,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,2.0,0.0,2.0,4.0,15.0,1/14/2022,1,0.7000000000000004
191,Terence Davis,SAC,17:31,5.0,8.0,0.625,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,14.0,6.0,1/14/2022,1,11.599999999999998
192,Alex Len,SAC,11:54,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1/14/2022,1,4.6000000000000005
193,Neemias Queta,SAC,4:39,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,1/14/2022,1,1.2
196,Justin Holiday,SAC,40:32,7.0,13.0,0.538,6.0,12.0,0.5,1.0,3.0,0.333,0.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,21.0,-11.0,3/18/2022,1,17.300000000000004
