,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Brook Lopez,MIL,36:35,9,14,.643,4,6,.667,1,2,.500,1,7,8,4,0,3,1,4,23,+21,3/13/2023
Jrue Holiday,MIL,34:23,4,9,.444,1,5,.200,2,3,.667,1,5,6,8,1,1,1,2,11,+23,3/13/2023
Giannis Antetokounmpo,MIL,33:57,19,28,.679,2,2,1.000,6,7,.857,1,11,12,4,1,0,5,2,46,+15,3/13/2023
Khris Middleton,MIL,33:48,9,15,.600,5,8,.625,8,8,1.000,0,3,3,9,0,0,0,2,31,+5,3/13/2023
Grayson Allen,MIL,28:20,3,6,.500,2,4,.500,0,0,,0,3,3,1,0,0,3,2,8,-3,3/13/2023
Pat Connaughton,MIL,21:28,1,3,.333,0,2,.000,0,0,,0,3,3,1,0,0,1,2,2,-1,3/13/2023
Jae Crowder,MIL,19:21,2,5,.400,0,2,.000,0,0,,1,3,4,2,0,0,0,2,4,-2,3/13/2023
Bobby Portis,MIL,18:52,1,1,1.000,0,0,,1,2,.500,1,2,3,0,0,0,1,1,3,+1,3/13/2023
Jevon Carter,MIL,13:12,2,5,.400,1,4,.250,0,0,,0,1,1,0,0,0,0,1,5,-14,3/13/2023
Thanasis Antetokounmpo,MIL,Did Not Play,,,,,,,,,,,,,,,,,,,,3/13/2023
MarJon Beauchamp,MIL,Did Not Play,,,,,,,,,,,,,,,,,,,,3/13/2023
Goran Dragić,MIL,Did Not Play,,,,,,,,,,,,,,,,,,,,3/13/2023
A.J. Green,MIL,Did Not Play,,,,,,,,,,,,,,,,,,,,3/13/2023
Meyers Leonard,MIL,Did Not Play,,,,,,,,,,,,,,,,,,,,3/13/2023
Wesley Matthews,MIL,Did Not Play,,,,,,,,,,,,,,,,,,,,3/13/2023
Team Totals,MIL,240,50,86,.581,15,33,.455,18,22,.818,5,38,43,29,2,4,12,18,133,,3/13/2023
Ochai Agbaji,UTA,36:01,8,15,.533,3,7,.429,1,2,.500,1,2,3,4,0,3,1,0,20,-10,3/25/2023
Walker Kessler,UTA,33:48,14,16,.875,0,0,,3,6,.500,4,7,11,2,1,1,1,4,31,-2,3/25/2023
Kelly Olynyk,UTA,32:18,7,12,.583,0,2,.000,3,3,1.000,0,8,8,10,1,0,4,3,17,-11,3/25/2023
Simone Fontecchio,UTA,28:49,2,10,.200,1,5,.200,0,0,,0,3,3,1,0,0,2,3,5,-4,3/25/2023
Talen Horton-Tucker,UTA,28:02,3,10,.300,1,3,.333,2,2,1.000,0,2,2,4,0,1,2,1,9,-10,3/25/2023
Kris Dunn,UTA,25:46,5,11,.455,1,2,.500,1,3,.333,0,4,4,5,0,0,3,1,12,+2,3/25/2023
Jarrell Brantley,UTA,15:49,5,8,.625,3,5,.600,0,0,,1,1,2,1,0,1,1,2,13,+2,3/25/2023
Juan Toscano-Anderson,UTA,12:09,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,1,0,2,-3,3/25/2023
Udoka Azubuike,UTA,10:22,1,2,.500,0,0,,0,0,,3,3,6,1,0,0,1,0,2,-4,3/25/2023
Johnny Juzang,UTA,9:33,1,5,.200,0,3,.000,0,0,,1,1,2,0,0,0,0,0,2,-4,3/25/2023
Damian Jones,UTA,7:23,0,0,,0,0,,0,0,,1,1,2,1,1,1,0,0,0,+4,3/25/2023
Micah Potter,UTA,Did Not Play,,,,,,,,,,,,,,,,,,,,3/25/2023
Team Totals,UTA,240,47,91,.516,9,28,.321,10,16,.625,11,34,45,30,3,7,16,14,113,,3/25/2023
Shai Gilgeous-Alexander,OKC,37:41,14,25,.560,0,2,.000,5,6,.833,0,7,7,5,2,2,2,1,33,-3,11/10/2023
Jalen Williams,OKC,31:29,6,14,.429,0,3,.000,2,2,1.000,0,5,5,2,1,0,3,1,14,-14,11/10/2023
Chet Holmgren,OKC,29:36,5,12,.417,0,3,.000,2,3,.667,1,6,7,1,1,1,4,2,12,-13,11/10/2023
Josh Giddey,OKC,26:35,6,10,.600,0,1,.000,1,1,1.000,1,3,4,5,0,0,4,1,13,-19,11/10/2023
Luguentz Dort,OKC,25:20,2,5,.400,2,3,.667,2,2,1.000,2,4,6,2,3,1,2,4,8,-11,11/10/2023
Cason Wallace,OKC,23:50,3,7,.429,2,5,.400,0,0,,1,2,3,2,0,1,0,1,8,+3,11/10/2023
Isaiah Joe,OKC,20:15,3,9,.333,3,8,.375,0,0,,0,1,1,0,1,0,1,0,9,+13,11/10/2023
Lindy Waters III,OKC,19:13,0,2,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,1,0,+3,11/10/2023
Jaylin Williams,OKC,18:24,0,2,.000,0,2,.000,1,2,.500,0,4,4,2,1,0,0,3,1,+6,11/10/2023
Ousmane Dieng,OKC,7:37,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,0,11/10/2023
Dāvis Bertāns,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/10/2023
Tre Mann,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/10/2023
Vasilije Micić,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/10/2023
Aleksej Pokusevski,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/10/2023
Aaron Wiggins,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/10/2023
Team Totals,OKC,240,39,87,.448,7,30,.233,13,16,.813,5,33,38,22,9,5,16,15,98,,11/10/2023
Devin Booker,PHO,36:28,9,20,.450,0,3,.000,6,9,.667,2,2,4,7,0,0,0,1,24,-24,12/22/2023
Kevin Durant,PHO,34:04,9,14,.643,2,3,.667,8,9,.889,0,7,7,2,1,0,7,0,28,-14,12/22/2023
Grayson Allen,PHO,29:57,4,10,.400,3,6,.500,0,0,,2,2,4,2,3,1,1,1,11,-20,12/22/2023
Eric Gordon,PHO,24:43,0,2,.000,0,1,.000,0,0,,0,4,4,2,0,1,0,1,0,-25,12/22/2023
Drew Eubanks,PHO,14:34,1,3,.333,0,0,,0,0,,1,1,2,0,1,0,2,2,2,-23,12/22/2023
Udoka Azubuike,PHO,22:22,5,5,1.000,0,0,,1,2,.500,5,6,11,2,0,1,1,4,11,+1,12/22/2023
Saben Lee,PHO,19:43,2,8,.250,0,3,.000,2,2,1.000,1,2,3,4,1,1,1,2,6,+11,12/22/2023
Nassir Little,PHO,16:04,3,8,.375,0,3,.000,0,0,,0,0,0,0,1,0,1,3,6,0,12/22/2023
Jordan Goodwin,PHO,14:00,1,6,.167,0,1,.000,1,2,.500,2,1,3,0,1,0,1,2,3,+5,12/22/2023
Chimezie Metu,PHO,13:01,3,6,.500,0,2,.000,4,4,1.000,1,3,4,0,0,0,1,1,10,+5,12/22/2023
Yuta Watanabe,PHO,11:42,1,4,.250,0,3,.000,0,0,,0,2,2,0,0,0,0,2,2,+5,12/22/2023
Bol Bol,PHO,3:22,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+4,12/22/2023
Keita Bates-Diop,PHO,Did Not Play,,,,,,,,,,,,,,,,,,,,12/22/2023
Team Totals,PHO,240,39,88,.443,5,25,.200,22,28,.786,15,30,45,19,8,4,15,19,105,,12/22/2023
