,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,Games,GS
84,Malaki Branham,SAS,28:31,4.0,10.0,0.4,3.0,6.0,0.5,2.0,2.0,1.0,2.0,3.0,5.0,4.0,1.0,0.0,2.0,5.0,13.0,4.0,12/28/23,1,9.7
85,Victor Wembanyama,SAS,24:21,9.0,14.0,0.643,2.0,4.0,0.5,10.0,10.0,1.0,0.0,6.0,6.0,6.0,0.0,7.0,1.0,0.0,30.0,18.0,12/28/23,1,33.7
86,Julian Champagnie,SAS,14:22,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,8.0,12/28/23,1,3.3
87,Keldon Johnson,SAS,31:04,4.0,11.0,0.364,1.0,6.0,0.167,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,5.0,9.0,1.0,12/28/23,1,2.200000000000001
88,Tre Jones,SAS,25:48,2.0,6.0,0.333,0.0,2.0,0.0,4.0,4.0,1.0,3.0,2.0,5.0,6.0,1.0,0.0,1.0,0.0,8.0,1.0,12/28/23,1,11.5
89,Zach Collins,SAS,16:41,4.0,9.0,0.444,0.0,2.0,0.0,3.0,4.0,0.75,1.0,6.0,7.0,2.0,0.0,0.0,1.0,6.0,11.0,7.0,12/28/23,1,6.399999999999999
90,Doug McDermott,SAS,15:57,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,-3.0,12/28/23,1,7.3999999999999995
91,Cedi Osman,SAS,15:33,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,-2.0,12/28/23,1,4.7
92,Sandro Mamukelashvili,SAS,1:02,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,12/28/23,1,-0.7
93,Blake Wesley,SAS,1:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,12/28/23,1,0.0
95,Devin Vassell,SAS,31:19,8.0,16.0,0.5,3.0,6.0,0.5,3.0,4.0,0.75,0.0,3.0,3.0,5.0,4.0,1.0,0.0,1.0,22.0,-6.0,12/29/23,1,22.3
96,Malaki Branham,SAS,28:50,5.0,12.0,0.417,1.0,3.0,0.333,0.0,0.0,0.0,3.0,3.0,6.0,3.0,1.0,0.0,3.0,1.0,11.0,-24.0,12/29/23,1,7.300000000000001
97,Jeremy Sochan,SAS,28:38,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,3.0,2.0,2.0,-15.0,12/29/23,1,1.5
98,Zach Collins,SAS,18:21,8.0,10.0,0.8,0.0,1.0,0.0,1.0,3.0,0.333,1.0,2.0,3.0,2.0,0.0,1.0,1.0,3.0,17.0,-13.0,12/29/23,1,13.599999999999998
99,Julian Champagnie,SAS,11:44,1.0,5.0,0.2,1.0,4.0,0.25,4.0,5.0,0.8,2.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,7.0,-8.0,12/29/23,1,5.5
100,Keldon Johnson,SAS,32:12,9.0,18.0,0.5,3.0,8.0,0.375,8.0,11.0,0.727,2.0,5.0,7.0,7.0,1.0,0.0,1.0,4.0,29.0,6.0,12/29/23,1,24.999999999999996
101,Tre Jones,SAS,26:57,7.0,9.0,0.778,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,5.0,0.0,0.0,3.0,2.0,14.0,14.0,12/29/23,1,13.8
102,Doug McDermott,SAS,22:34,6.0,9.0,0.667,6.0,8.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,18.0,12.0,12/29/23,1,12.699999999999998
103,Cedi Osman,SAS,17:40,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,12/29/23,1,4.199999999999999
104,Dominick Barlow,SAS,14:15,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,-9.0,12/29/23,1,-0.5999999999999994
