,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Ish Wainright,POR,Did Not Play,,,,,,,,,,,,,,,,,,,,12/29/23
Team Totals,POR,240,48,95,.505,16,27,.593,22,27,.815,16,27,43,28,8,6,14,19,134,,12/29/23
Harrison Barnes,SAC,37:09,5,10,.500,4,8,.500,5,6,.833,0,1,1,0,2,1,0,2,19,+16,12/22/23
Domantas Sabonis,SAC,34:37,12,15,.800,0,2,.000,4,5,.800,1,10,11,12,0,0,3,3,28,+27,12/22/23
Keegan Murray,SAC,32:55,8,13,.615,3,7,.429,2,2,1.000,1,4,5,2,0,0,1,3,21,+25,12/22/23
De'Aaron Fox,SAC,32:03,9,17,.529,2,6,.333,3,4,.750,0,6,6,7,3,2,2,2,23,+21,12/22/23
Kevin Huerter,SAC,27:17,5,9,.556,2,6,.333,1,1,1.000,1,1,2,5,1,0,1,1,13,+22,12/22/23
Malik Monk,SAC,20:27,3,8,.375,0,3,.000,1,2,.500,0,2,2,5,0,3,2,4,7,-3,12/22/23
Keon Ellis,SAC,17:18,0,3,.000,0,2,.000,1,2,.500,1,2,3,1,1,1,0,3,1,-3,12/22/23
Trey Lyles,SAC,11:26,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,1,1,0,+4,12/22/23
JaVale McGee,SAC,10:25,1,2,.500,0,0,,3,4,.750,0,1,1,0,0,0,1,3,5,-7,12/22/23
Sasha Vezenkov,SAC,6:13,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,1,1,3,-4,12/22/23
Juan Toscano-Anderson,SAC,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5,12/22/23
Chris Duarte,SAC,2:24,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-6,12/22/23
Kessler Edwards,SAC,2:24,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6,12/22/23
Davion Mitchell,SAC,2:24,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6,12/22/23
Team Totals,SAC,240,44,83,.530,12,38,.316,20,26,.769,7,30,37,32,7,7,12,24,120,,12/22/23
Trae Young,ATL,37:36,11,24,.458,6,11,.545,8,9,.889,0,6,6,13,1,1,3,0,36,+16,1/15/24
Jalen Johnson,ATL,37:36,7,13,.538,1,2,.500,1,1,1.000,0,10,10,7,6,0,5,3,16,+16,1/15/24
Dejounte Murray,ATL,32:50,6,15,.400,1,6,.167,0,0,,0,13,13,0,0,1,2,3,13,0,1/15/24
Saddiq Bey,ATL,32:50,3,9,.333,1,7,.143,3,4,.750,4,1,5,2,0,0,0,3,10,0,1/15/24
Clint Capela,ATL,24:51,5,7,.714,0,0,,3,6,.500,6,5,11,0,0,4,1,2,13,+8,1/15/24
Bogdan Bogdanović,ATL,25:34,2,10,.200,1,6,.167,0,0,,0,2,2,1,1,0,3,2,5,+4,1/15/24
Onyeka Okongwu,ATL,23:09,3,8,.375,0,1,.000,1,1,1.000,2,4,6,1,0,0,2,4,7,+2,1/15/24
Garrison Mathews,ATL,13:12,2,4,.500,2,4,.500,0,0,,0,0,0,0,0,0,0,0,6,+17,1/15/24
Trent Forrest,ATL,12:22,1,3,.333,1,1,1.000,0,0,,1,2,3,0,0,0,0,2,3,-13,1/15/24
Bruno Fernando,ATL,Did Not Play,,,,,,,,,,,,,,,,,,,,1/15/24
AJ Griffin,ATL,Did Not Play,,,,,,,,,,,,,,,,,,,,1/15/24
Seth Lundy,ATL,Did Not Play,,,,,,,,,,,,,,,,,,,,1/15/24
Patty Mills,ATL,Did Not Play,,,,,,,,,,,,,,,,,,,,1/15/24
Team Totals,ATL,240,40,93,.430,13,38,.342,16,21,.762,13,43,56,24,8,6,16,19,109,,1/15/24
