,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Robert Covington,PHI,29:45,5,9,.556,2,5,.400,0,0,,0,6,6,1,0,1,2,4,12,+16,11/15/17
Timothé Luwawu-Cabarrot,PHI,24:42,4,10,.400,1,6,.167,0,0,,1,2,3,0,0,1,2,2,9,+1,11/15/17
T.J. McConnell,PHI,22:30,3,5,.600,1,1,1.000,0,0,,1,3,4,4,1,0,5,0,7,-8,11/15/17
Amir Johnson,PHI,9:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,2,1,0,-10,11/15/17
Justin Anderson,PHI,7:44,1,4,.250,0,2,.000,3,3,1.000,0,0,0,0,0,0,0,1,5,-8,11/15/17
Richaun Holmes,PHI,4:31,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-3,11/15/17
Furkan Korkmaz,PHI,Did Not Play,,,,,,,,,,,,,,,,,,,,11/15/17
Jahlil Okafor,PHI,Did Not Play,,,,,,,,,,,,,,,,,,,,11/15/17
Team Totals,PHI,240,42,86,.488,7,32,.219,24,30,.800,8,44,52,27,7,15,16,19,115,,11/15/17
Donovan Mitchell,UTA,34:45,6,17,.353,1,6,.167,4,5,.800,0,7,7,3,2,1,3,4,17,-11,12/27/17
Thabo Sefolosha,UTA,32:49,4,12,.333,1,2,.500,2,2,1.000,3,5,8,1,2,1,2,3,11,-14,12/27/17
Ricky Rubio,UTA,25:31,5,13,.385,0,2,.000,0,0,,0,2,2,2,2,0,1,1,10,-9,12/27/17
Derrick Favors,UTA,25:30,7,11,.636,0,0,,3,4,.750,5,5,10,1,0,0,0,4,17,-6,12/27/17
Joe Ingles,UTA,24:03,1,4,.250,1,2,.500,0,0,,0,4,4,7,0,0,4,2,3,-24,12/27/17
Rodney Hood,UTA,29:16,9,20,.450,2,5,.400,6,8,.750,2,3,5,0,3,0,1,1,26,-22,12/27/17
Ekpe Udoh,UTA,22:30,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,1,0,-19,12/27/17
Alec Burks,UTA,20:04,3,8,.375,1,3,.333,3,4,.750,0,2,2,3,0,0,1,3,10,-17,12/27/17
Joe Johnson,UTA,15:11,1,4,.250,0,1,.000,0,0,,0,1,1,1,0,0,1,1,2,-11,12/27/17
Royce O'Neale,UTA,10:21,1,3,.333,0,2,.000,3,4,.750,0,3,3,2,0,0,0,2,5,+8,12/27/17
Rudy Gobert,UTA,Did Not Dress,,,,,,,,,,,,,,,,,,,,12/27/17
Jonas Jerebko,UTA,Did Not Play,,,,,,,,,,,,,,,,,,,,12/27/17
Naz Mitrou-Long,UTA,Did Not Play,,,,,,,,,,,,,,,,,,,,12/27/17
Team Totals,UTA,240,37,92,.402,6,23,.261,21,27,.778,10,33,43,21,10,2,13,22,101,,12/27/17
Garrett Temple,NOP,34:15,4,12,.333,1,6,.167,3,4,.750,3,5,8,2,0,2,1,1,12,-4,11/3/21
Nickeil Alexander-Walker,NOP,32:54,7,16,.438,1,6,.167,1,2,.500,1,3,4,4,1,0,3,4,16,-6,11/3/21
Josh Hart,NOP,31:52,4,11,.364,1,4,.250,0,0,,0,3,3,2,0,0,1,2,9,-6,11/3/21
